"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000114968.2",3666.42747713236,5.06588873574063,1.58563241459649,3.19486956062876,0.00139894051876176,0.0289610452075573
"ENSMUSG00000109904.2",272.387606077487,4.48236065665377,0.551705975575221,8.1245461443124,4.49039470545391e-16,4.36915404840665e-13
"ENSMUSG00000116272.2",82879.4960702586,4.42213927099613,1.63517686734589,2.70437978869763,0.00684320251931873,0.0899788655580693
"ENSMUSG00000099338.3",132.854103724507,3.56933694672401,0.705616763434409,5.05846393069118,4.22647171088195e-07,4.11235697468813e-05
"ENSMUSG00000086918.3",194.993438686039,3.31541358068848,1.04307949725722,3.17848600169629,0.0014804636664524,0.0300102322387123
"ENSMUSG00000055188.13",169.039704293078,3.22465371063588,0.503476902322245,6.40476990257632,1.50596324473103e-10,2.93060447424658e-08
"ENSMUSG00000108126.2",138.769486158611,2.98171617420406,0.779142187290743,3.82692173885767,0.000129755746251557,0.00427535249171567
"ENSMUSG00000099568.2",132.673700174331,2.96710754487724,0.861781927529787,3.44299114438633,0.000575318152431764,0.0147311726925291
"ENSMUSG00000116010.2",128.164997052012,2.90618683204404,1.70305950223593,1.70645055456285,0.0879242248952724,0.370347492740693
"ENSMUSG00000121642.1",129.71274540112,2.81517280287938,0.736371415318937,3.8230337901697,0.000131819706836043,0.00427535249171567
