"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006091","generation of precursor metabolites and energy","259/5592","488/28905",0.530737704918033,2.74337864103286,19.0228679020185,4.7390554934474e-63,3.03489113800372e-59,1.61676619518558e-59,"Atp6-ps/Cox5b/Ndufb3/Ndufs1/Idh1/Rpe/Prkag3/Irs1/Per2/Ndufa10/Pfkfb2/Sdhc/Ndufs2/Fh1/Opn3/Hsd11b1/Atp5f1c/Slc2a6/Slc25a25/Ndufa8/Slc25a12/Mtch2/Ndufs3/Cat/Idh3b/Pank2/Pygb/Norad/Gnas/Atp5f1e/Mtfr1/Pik3ca/Ndufb5/Etfdh/Pklr/Gba1/Hmgcs2/Atp5pb/Agl/Adh7/Adh1/Adh5/Acadm/Aco1/Ndufb6/Galt/Vcp/Aldob/Mup1/Pgm1/Prkaa2/Uqcrh/Ndufs5/Hmgcl/Pink1/Sdhb/Mfn2/H6pd/Eno1/Park7/Crot/Khk/Ucn/Ppp1cb/Ppargc1a/Slc4a4/Atp5me/Iscu/Acacb/Cox6a1/Nipsnap2/Phkg1/Chchd2/Por/Mdh2/Atp5mf/Slc25a13/Ndufa4/Ppp1r3a/Ndufa5/Ndufb2/Cycs/Suclg1/Hk2/Aldh1l1/Suclg2/Phb2/Tpi1/Gapdh/Ndufa9/Etfrf1/Etfbkmt/Slc27a5/Nop53/Gsk3a/Akt2/Cox7a1/Gapdhs/Gpi1/Gys1/Sphk2/Ldha/Idh2/Uqcrc2/Ndufab1/Aldoa/Phkg2/Cox6a2/Bnip3/Sirt3/Cox8b/Taldo1/Slc25a22/Insr/Irs2/Ndufa13/Pgls/Ndufb7/Prkaca/Gadd45gip1/Coq9/Nfatc3/Cox4i1/Coa6/Apoc3/Sdhd/Dlat/Acat1/Idh3a/Ireb2/Etfa/Cox5a/Cyp1a2/Pkm/Cox7a2/Rhoa/Uqcrc1/Trex1/Hk1/Cisd1/Chchd10/Atp5f1d/Ndufs7/Uqcr11/Zbtb7a/Aldh1l2/Igf1/Ndufa12/Shmt2/Atp5f1b/Cs/Bloc1s1/Uqcr10/Pgam2/Gck/Ogdh/Vps54/Ugp2/Mdh1/Adra1b/Ppp2ca/Uqcrq/Ncor1/Eno3/Mybbp1a/Git1/Nr1d1/Acly/Stat3/Mlx/Taco1/Atp5pd/Acox1/Gaa/Dld/Pygl/Hif1a/Dlst/Ndufb1/Akt1/Pfkp/Uqcrfs1/Prelid1/Macroh2a1/Fbp1/Prxl2c/Uqcrb/Ndufs6/Sdha/Cox7c/Il6st/Ndufs4/Pdhb/Tkt/Oxa1l/Sucla2/Oxct1/Plec/Cyc1/Dgat1/Ep300/Aco2/Ndufa6/Sco2/Pfkm/Gpd1/Trap1/Comt/Ndufb4/Gsk3b/Cox17/Zbtb20/Atp5pf/App/Ifnar1/Atp5po/Sod2/Ndufb10/Jmjd8/Ndufv3/Ndufa7/Ier3/Adgrf5/Gnmt/Kat2b/Slc25a23/Ndufv2/Cxxc5/Ndufa2/Atp5f1a/Ndufs8/Ndufv1/Ppp1ca/Pygm/Sdhaf2/Tkfc/Ppp1r3c/Sorbs1/Tcf7l2/Ndufb11/Idh3g/G6pdx/Cox7b/Pgk1/Pfkfb1/Pdha1/ND1/ND2/COX1/COX2/ATP8/ATP6/COX3/ND3/ND4L/ND4/ND5/ND6/CYTB",259
"GO:0009150","purine ribonucleotide metabolic process","226/5592","441/28905",0.512471655328798,2.64896158749623,17.0901290463593,1.28875351304427e-51,2.85597959769333e-48,1.52145532005064e-48,"Atp6-ps/Ndufb3/Ndufs1/Prkag3/Ndufa10/Pfkfb2/Cfh/Nme7/Atp1b1/Mpc2/Sdhc/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Slc2a6/Slc25a25/Ak1/Ndufa8/Cacnb4/Slc25a12/Pdk1/Atp5mc3/Mtch2/Ndufs3/Pdhx/Pank2/Acss1/Bcl2l1/Acss2/Fitm2/Hnf4a/Acot8/Atp5f1e/Mfn1/Ndufb5/Tdo2/Pklr/Npr1/Hmgcs2/Atp5pb/Ampd2/Pde5a/Uox/Ndufb6/Galt/Vcp/Baat/Aldob/Prkaa2/Ndufs5/Ak2/Atp5if1/Hmgcl/Sdhb/Nppa/Eno1/Crot/Khk/Ppargc1a/Ppat/Paics/Slc4a4/Nudt9/Atp5me/Acacb/Hnf1a/Ran/Atp5mf/Pdk4/Slc25a13/Ndufa5/Ndufb2/Suclg1/Hk2/Suclg2/Tpi1/Gapdh/Ndufa9/Far2/Sult2a8/Gapdhs/Gpi1/Nudt19/Sphk2/Abcc6/Dgat2/Ampd3/Acsm5/Acsm1/Acsm3/Ndufab1/Aldoa/Acadsb/Insr/Acsl1/Ndufa13/Slc25a42/Ndufb7/Prkaca/Gcdh/Adcy7/Ces1d/Nudt7/Mlycd/Mvd/Pde4a/Hspa8/Atp5mg/Sdhd/Dlat/Acat1/Pkm/Clpx/Nt5e/Rhoa/Trex1/Hk1/Atp5f1d/Ndufs7/Zbtb7a/Igf1/Ndufa12/Nudt4/Atp5f1b/Cs/Pgam2/Gck/Ogdh/Ppp2ca/Vdac1/Acsl6/Hint1/Ncor1/Eno3/Git1/Pipox/Cox11/Nme2/Nme1/Pdk2/Atp5mc1/Acly/Stat3/Mlx/Dcakd/Atp5pd/Adcy3/Dld/Hif1a/Mthfd1/Acot2/Acot1/Acot4/Acot3/Ndufb1/Adss1/Pfkp/Gmpr/Fbp1/Prxl2c/Ndufs6/Sdha/Acot12/Hmgcr/Mccc2/Ndufs4/Hmgcs1/Oxsm/Pdhb/Adk/Myh6/Myh7/Gmpr2/Sucla2/Dgat1/Ep300/Ndufa6/Pfkm/Adcy6/Gpd1/Adcy9/Dnm1l/Opa1/Adcy5/Ndufb4/Zbtb20/Atp5pf/App/Atp5po/Mpc1/Ndufb10/Jmjd8/Nudt3/Ndufv3/Ndufa7/Ier3/Mmut/Kat2b/Ndufv2/Rhoq/Ndufa2/Hsd17b4/Acaa2/Atp5f1a/Ndufs8/Ndufv1/Bad/Tkfc/Ak3/Pank1/Gpam/Acsl5/Ndufb11/Pgk1/Pfkfb1/Pdha1/ND1/ND2/ATP8/ATP6/ND3/ND4L/ND4/ND5/ND6",226
"GO:0019693","ribose phosphate metabolic process","237/5592","474/28905",0.5,2.58449570815451,17.0352159813047,1.33790424626484e-51,2.85597959769333e-48,1.52145532005064e-48,"Atp6-ps/Ndufb3/Ndufs1/Rpe/Prkag3/Ndufa10/Pfkfb2/Cfh/Nme7/Atp1b1/Mpc2/Uck2/Sdhc/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Slc2a6/Slc25a25/Ak1/Ndufa8/Cacnb4/Upp2/Slc25a12/Pdk1/Atp5mc3/Mtch2/Ndufs3/Pdhx/Pank2/Acss1/Bcl2l1/Acss2/Fitm2/Hnf4a/Acot8/Atp5f1e/Mfn1/Ndufb5/Tdo2/Pklr/Npr1/Hmgcs2/Atp5pb/Ampd2/Dpyd/Pde5a/Uox/Ndufb6/Galt/Vcp/Baat/Aldob/Prkaa2/Ndufs5/Ak2/Atp5if1/Hmgcl/Sdhb/Nppa/Eno1/Crot/Khk/Ppargc1a/Ppat/Paics/Slc4a4/Nudt9/Atp5me/Acacb/Hnf1a/Ran/Atp5mf/Pdk4/Slc25a13/Ndufa5/Ndufb2/Nt5c3/Suclg1/Hk2/Suclg2/Tpi1/Gapdh/Ndufa9/Far2/Sult2a8/Gapdhs/Gpi1/Nudt19/Sphk2/Abcc6/Dgat2/Ampd3/Acsm5/Acsm1/Acsm3/Ndufab1/Aldoa/Acadsb/Taldo1/Insr/Acsl1/Ndufa13/Slc25a42/Ndufb7/Prkaca/Gcdh/Adcy7/Ces1d/Nudt7/Mlycd/Mvd/Pde4a/Hspa8/Atp5mg/Sdhd/Dlat/Acat1/Pkm/Clpx/Nt5e/Rhoa/Trex1/Hk1/Atp5f1d/Ndufs7/Zbtb7a/Igf1/Ndufa12/Nudt4/Atp5f1b/Cs/Pgam2/Gck/Ogdh/Ppp2ca/Vdac1/Acsl6/Hint1/Ncor1/Eno3/Git1/Pipox/Cox11/Nme2/Nme1/Pdk2/Atp5mc1/Acly/Stat3/Mlx/Dcakd/Atp5pd/Adcy3/Dld/Pygl/Hif1a/Mthfd1/Acot2/Acot1/Acot4/Acot3/Entpd5/Ndufb1/Adss1/Pfkp/Gmpr/Fbp1/Prxl2c/Ndufs6/Sdha/Acot12/Hmgcr/Mccc2/Ndufs4/Hmgcs1/Oxsm/Pdhb/Adk/Tkt/Myh6/Myh7/Gmpr2/Sucla2/Dpys/Dgat1/Ep300/Ndufa6/Pfkm/Adcy6/Gpd1/Adcy9/Dnm1l/Opa1/Adcy5/Ndufb4/Zbtb20/Atp5pf/App/Atp5po/Mpc1/Ndufb10/Jmjd8/Nudt3/Ndufv3/Ndufa7/Ier3/Mmut/Kat2b/Ndufv2/Rhoq/Ndufa2/Hsd17b4/Acaa2/Atp5f1a/Ndufs8/Ndufv1/Bad/Tkfc/Ak3/Pank1/Gpam/Acsl5/Ndufb11/G6pdx/Pgk1/Pfkfb1/Pdha1/ND1/ND2/ATP8/ATP6/ND3/ND4L/ND4/ND5/ND6",237
"GO:0009259","ribonucleotide metabolic process","232/5592","460/28905",0.504347826086956,2.60696958387759,17.0155925395672,2.23449068167765e-51,3.57741958136591e-48,1.90578534192559e-48,"Atp6-ps/Ndufb3/Ndufs1/Prkag3/Ndufa10/Pfkfb2/Cfh/Nme7/Atp1b1/Mpc2/Uck2/Sdhc/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Slc2a6/Slc25a25/Ak1/Ndufa8/Cacnb4/Upp2/Slc25a12/Pdk1/Atp5mc3/Mtch2/Ndufs3/Pdhx/Pank2/Acss1/Bcl2l1/Acss2/Fitm2/Hnf4a/Acot8/Atp5f1e/Mfn1/Ndufb5/Tdo2/Pklr/Npr1/Hmgcs2/Atp5pb/Ampd2/Dpyd/Pde5a/Uox/Ndufb6/Galt/Vcp/Baat/Aldob/Prkaa2/Ndufs5/Ak2/Atp5if1/Hmgcl/Sdhb/Nppa/Eno1/Crot/Khk/Ppargc1a/Ppat/Paics/Slc4a4/Nudt9/Atp5me/Acacb/Hnf1a/Ran/Atp5mf/Pdk4/Slc25a13/Ndufa5/Ndufb2/Nt5c3/Suclg1/Hk2/Suclg2/Tpi1/Gapdh/Ndufa9/Far2/Sult2a8/Gapdhs/Gpi1/Nudt19/Sphk2/Abcc6/Dgat2/Ampd3/Acsm5/Acsm1/Acsm3/Ndufab1/Aldoa/Acadsb/Insr/Acsl1/Ndufa13/Slc25a42/Ndufb7/Prkaca/Gcdh/Adcy7/Ces1d/Nudt7/Mlycd/Mvd/Pde4a/Hspa8/Atp5mg/Sdhd/Dlat/Acat1/Pkm/Clpx/Nt5e/Rhoa/Trex1/Hk1/Atp5f1d/Ndufs7/Zbtb7a/Igf1/Ndufa12/Nudt4/Atp5f1b/Cs/Pgam2/Gck/Ogdh/Ppp2ca/Vdac1/Acsl6/Hint1/Ncor1/Eno3/Git1/Pipox/Cox11/Nme2/Nme1/Pdk2/Atp5mc1/Acly/Stat3/Mlx/Dcakd/Atp5pd/Adcy3/Dld/Hif1a/Mthfd1/Acot2/Acot1/Acot4/Acot3/Entpd5/Ndufb1/Adss1/Pfkp/Gmpr/Fbp1/Prxl2c/Ndufs6/Sdha/Acot12/Hmgcr/Mccc2/Ndufs4/Hmgcs1/Oxsm/Pdhb/Adk/Myh6/Myh7/Gmpr2/Sucla2/Dpys/Dgat1/Ep300/Ndufa6/Pfkm/Adcy6/Gpd1/Adcy9/Dnm1l/Opa1/Adcy5/Ndufb4/Zbtb20/Atp5pf/App/Atp5po/Mpc1/Ndufb10/Jmjd8/Nudt3/Ndufv3/Ndufa7/Ier3/Mmut/Kat2b/Ndufv2/Rhoq/Ndufa2/Hsd17b4/Acaa2/Atp5f1a/Ndufs8/Ndufv1/Bad/Tkfc/Ak3/Pank1/Gpam/Acsl5/Ndufb11/Pgk1/Pfkfb1/Pdha1/ND1/ND2/ATP8/ATP6/ND3/ND4L/ND4/ND5/ND6",232
"GO:0015980","energy derivation by oxidation of organic compounds","193/5592","351/28905",0.54985754985755,2.84220895540638,17.0067937028795,2.65173340577333e-50,3.39634014611449e-47,1.80931957223397e-47,"Atp6-ps/Cox5b/Ndufb3/Ndufs1/Idh1/Prkag3/Irs1/Per2/Ndufa10/Sdhc/Ndufs2/Fh1/Opn3/Atp5f1c/Slc25a25/Ndufa8/Slc25a12/Mtch2/Ndufs3/Cat/Idh3b/Pank2/Pygb/Norad/Gnas/Atp5f1e/Mtfr1/Pik3ca/Ndufb5/Gba1/Atp5pb/Agl/Acadm/Aco1/Ndufb6/Vcp/Mup1/Pgm1/Uqcrh/Ndufs5/Pink1/Sdhb/Mfn2/Park7/Khk/Ucn/Ppp1cb/Ppargc1a/Atp5me/Iscu/Cox6a1/Nipsnap2/Phkg1/Chchd2/Mdh2/Atp5mf/Slc25a13/Ppp1r3a/Ndufa5/Ndufb2/Cycs/Suclg1/Suclg2/Ndufa9/Etfrf1/Nop53/Gsk3a/Akt2/Cox7a1/Gys1/Ldha/Idh2/Uqcrc2/Ndufab1/Phkg2/Cox6a2/Bnip3/Sirt3/Cox8b/Slc25a22/Insr/Irs2/Ndufa13/Ndufb7/Prkaca/Gadd45gip1/Coq9/Nfatc3/Cox4i1/Coa6/Apoc3/Sdhd/Dlat/Idh3a/Ireb2/Etfa/Cox5a/Cyp1a2/Cox7a2/Rhoa/Uqcrc1/Trex1/Cisd1/Chchd10/Atp5f1d/Ndufs7/Uqcr11/Igf1/Ndufa12/Shmt2/Atp5f1b/Cs/Bloc1s1/Uqcr10/Gck/Ogdh/Vps54/Ugp2/Mdh1/Adra1b/Uqcrq/Mybbp1a/Nr1d1/Acly/Atp5pd/Gaa/Dld/Pygl/Hif1a/Dlst/Ndufb1/Akt1/Uqcrfs1/Prelid1/Macroh2a1/Uqcrb/Ndufs6/Sdha/Cox7c/Il6st/Ndufs4/Pdhb/Oxa1l/Sucla2/Plec/Cyc1/Aco2/Ndufa6/Sco2/Pfkm/Gpd1/Trap1/Comt/Ndufb4/Gsk3b/Atp5pf/Ifnar1/Atp5po/Sod2/Ndufb10/Ndufv3/Ndufa7/Adgrf5/Gnmt/Slc25a23/Ndufv2/Ndufa2/Atp5f1a/Ndufs8/Ndufv1/Ppp1ca/Pygm/Sdhaf2/Ppp1r3c/Sorbs1/Tcf7l2/Ndufb11/Idh3g/Cox7b/Pdha1/ND1/ND2/COX1/COX2/ATP8/ATP6/COX3/ND3/ND4L/ND4/ND5/ND6/CYTB",193
"GO:0045333","cellular respiration","156/5592","255/28905",0.611764705882353,3.16220651350669,16.9851122821464,4.62665569045477e-49,4.93818384027873e-46,2.63070019171297e-46,"Atp6-ps/Cox5b/Ndufb3/Ndufs1/Idh1/Ndufa10/Sdhc/Ndufs2/Fh1/Opn3/Atp5f1c/Slc25a25/Ndufa8/Slc25a12/Mtch2/Ndufs3/Cat/Idh3b/Pank2/Norad/Atp5f1e/Mtfr1/Pik3ca/Ndufb5/Gba1/Atp5pb/Aco1/Ndufb6/Vcp/Mup1/Uqcrh/Ndufs5/Pink1/Sdhb/Mfn2/Park7/Ucn/Ppargc1a/Atp5me/Iscu/Cox6a1/Nipsnap2/Chchd2/Mdh2/Atp5mf/Slc25a13/Ndufa5/Ndufb2/Cycs/Suclg1/Suclg2/Ndufa9/Etfrf1/Nop53/Cox7a1/Idh2/Uqcrc2/Ndufab1/Cox6a2/Bnip3/Sirt3/Cox8b/Slc25a22/Ndufa13/Ndufb7/Prkaca/Gadd45gip1/Coq9/Nfatc3/Cox4i1/Coa6/Apoc3/Sdhd/Dlat/Idh3a/Ireb2/Etfa/Cox5a/Cyp1a2/Cox7a2/Rhoa/Uqcrc1/Trex1/Cisd1/Chchd10/Atp5f1d/Ndufs7/Uqcr11/Ndufa12/Shmt2/Atp5f1b/Cs/Bloc1s1/Uqcr10/Ogdh/Vps54/Mdh1/Uqcrq/Mybbp1a/Acly/Atp5pd/Dld/Hif1a/Dlst/Ndufb1/Akt1/Uqcrfs1/Prelid1/Macroh2a1/Uqcrb/Ndufs6/Sdha/Cox7c/Ndufs4/Pdhb/Oxa1l/Sucla2/Plec/Cyc1/Aco2/Ndufa6/Sco2/Gpd1/Trap1/Ndufb4/Atp5pf/Ifnar1/Atp5po/Sod2/Ndufb10/Ndufv3/Ndufa7/Slc25a23/Ndufv2/Ndufa2/Atp5f1a/Ndufs8/Ndufv1/Sdhaf2/Ndufb11/Idh3g/Cox7b/Pdha1/ND1/ND2/COX1/COX2/ATP8/ATP6/COX3/ND3/ND4L/ND4/ND5/ND6/CYTB",156
"GO:0009060","aerobic respiration","131/5592","199/28905",0.658291457286432,3.40270289214312,16.65726683818,1.29218481380884e-46,1.18216450680455e-43,6.29770072414205e-44,"Atp6-ps/Cox5b/Ndufb3/Ndufs1/Idh1/Ndufa10/Sdhc/Ndufs2/Fh1/Atp5f1c/Ndufa8/Mtch2/Ndufs3/Cat/Idh3b/Pank2/Atp5f1e/Mtfr1/Ndufb5/Atp5pb/Aco1/Ndufb6/Vcp/Mup1/Uqcrh/Ndufs5/Pink1/Sdhb/Mfn2/Park7/Ucn/Atp5me/Iscu/Cox6a1/Nipsnap2/Chchd2/Mdh2/Atp5mf/Ndufa5/Ndufb2/Cycs/Suclg1/Suclg2/Ndufa9/Nop53/Cox7a1/Idh2/Uqcrc2/Ndufab1/Cox6a2/Bnip3/Sirt3/Cox8b/Ndufa13/Ndufb7/Gadd45gip1/Coq9/Cox4i1/Coa6/Apoc3/Sdhd/Dlat/Idh3a/Ireb2/Cox5a/Cox7a2/Rhoa/Uqcrc1/Chchd10/Atp5f1d/Ndufs7/Uqcr11/Ndufa12/Shmt2/Atp5f1b/Cs/Bloc1s1/Uqcr10/Ogdh/Mdh1/Uqcrq/Acly/Atp5pd/Dld/Hif1a/Dlst/Ndufb1/Akt1/Uqcrfs1/Macroh2a1/Uqcrb/Ndufs6/Sdha/Cox7c/Ndufs4/Pdhb/Oxa1l/Sucla2/Cyc1/Aco2/Ndufa6/Ndufb4/Atp5pf/Atp5po/Ndufb10/Ndufv3/Ndufa7/Slc25a23/Ndufv2/Ndufa2/Atp5f1a/Ndufs8/Ndufv1/Sdhaf2/Ndufb11/Idh3g/Cox7b/Pdha1/ND1/ND2/COX1/COX2/ATP8/ATP6/COX3/ND3/ND4L/ND4/ND5/ND6/CYTB",131
"GO:0008380","RNA splicing","210/5592","455/28905",0.461538461538462,2.38568834598878,14.5912870477365,4.75670001076313e-39,3.80773835861588e-36,2.02848220195833e-36,"Sf3b1/Ppil3/Ncl/Ivns1abp/Prdx6/Tada1/Alyref2/Hnrnpu/Rbm17/Prpf40a/Cir1/Cwc22/Celf1/Aqr/Snrnp200/Crnkl1/Raly/Rbm39/Rbm38/Supt20/Mbnl1/Sf3b4/Rbm15/Prpf38b/Rnpc3/Larp7/Zranb2/Rbm12b1/Smu1/Ncbp1/Psip1/Ybx1/Thrap3/Sfpq/Zbtb8os/Srsf4/Rsrp1/Syf2/Srrm1/Tardbp/Ccnl2/Rbm48/Srpk2/Fastk/Tada2b/Dhx15/Ythdc1/Grsf1/Pus1/Tfip11/Sart3/Srsf9/Srrm4/Arl6ip4/Snrnp35/Bud31/Rbm28/Luc7l2/Hnrnpa2b1/Gcfc2/Zfp638/Snrnp27/Isy1/Tada3/Hnrnpf/Wbp11/Prpf31/Tsen34/U2af2/Nova2/Hnrnpul1/Snrpa/Akt2/Hnrnpl/Scaf1/Snrnp70/Taf10/Sgf29/Fus/Upf3a/Sugp2/Upf1/Lsm4/Ddx39a/Wdr83/Nol3/Esrp2/Prmt7/Txnl4b/Cwc15/Ubl5/Rp9/Dcps/Hspa8/Cenatac/Clk3/Syncrip/Pcbp4/Rbm15b/Rbm5/Rbm6/Usp4/Sf3b5/Hnrnph3/Snrpd3/Ptbp1/Cirbp/Dazap1/Sf3a2/Zbtb7a/Slc39a5/Rps26/Sf3a1/Npm1/Hnrnph1/Clk4/Gemin5/C1qbp/Prpf8/Nsrp1/Supt6/Taf15/Srsf1/Luc7l3/Casc3/Eif1/Dhx8/Atxn7l3/Eftud2/Ddx42/Ddx5/Armc7/Jmjd6/Srsf2/Ddx1/Pnn/Prpf39/Srsf5/Rbm25/Slirp/Snw1/Akr1c6/Cdk13/Prpf4b/Rbm24/Ddx46/Hnrnpk/Habp4/Taf9/Pik3r1/Srek1/Mtrex/Atxn7/Rtraf/Hnrnpc/Mettl3/Acin1/Ccar2/Zc3h13/Wbp4/Mbnl2/Pabpc1/Eny2/Puf60/Rbfox2/Ddx17/Zcrb1/Scaf11/Slc38a2/Ddx23/Prpf40b/Tmbim6/Hnrnpa1/Ppil2/Arvcf/Ncbp2/Son/Qki/Thoc6/Srrm2/Ppil1/Hnrnpm/Ddx39b/Dhx16/Kat2b/Yju2/Hnrnpll/Thoc1/Iws1/Zmat2/Rbm4b/Sf3b2/Sart1/Malat1/Sf1/Trpt1/Taf6l/Hnrnpul2/Ahnak/Fra10ac1/Rbm20/Pqbp1/Rbm3/Rbm10/Thoc2/Htatsf1/Srpk3/Nono/Hnrnph2/Zrsr2",210
"GO:0044282","small molecule catabolic process","175/5592","353/28905",0.495750708215297,2.56253115539399,14.4664258240904,9.6409861384953e-38,6.86009724788043e-35,3.65455392688459e-35,"Adhfe1/Gls/Hibch/Acadl/Cyp27a1/Irs1/Dbi/Acmsd/Pfkfb2/Phyh/Nudt5/Sardh/Crat/Upp2/Abcb11/Slc25a12/Ivd/Adal/Sord/Slc27a2/Hdc/Ahcy/Acot8/Pck1/Etfdh/Tdo2/Slc16a1/Dbt/Dpyd/Abcd3/Hadh/Adh7/Adh1/Adh5/Uox/Acadm/Decr1/Galt/Aldob/Cpt2/Scp2/Echdc2/Hmgcl/Eno1/Park7/Crot/Nos3/Hadha/Hadhb/Khk/Abhd1/Acox3/Gnpda2/Ppat/Idua/Acacb/Acads/Sds/Acad10/Hpd/Nudt1/Pon1/Hibadh/Ppm1k/Fabp1/Uroc1/Aldh1l1/Tpi1/Gapdh/Etfbkmt/Sult2a8/Apoe/Lipe/Bckdha/Akt2/Gpi1/Nudt19/Il4i1/Il4i1b/Dhdh/Bcat2/Ldha/Fah/Aldoa/Bckdk/Acadsb/Oat/Echs1/Irs2/Gcdh/Lonp2/Ces1d/Ces1f/Got2/Tat/Nudt7/Gcsh/Mlycd/Acat1/Etfa/Hexa/Pkm/Acad11/Glyctk/Amt/Acaa1b/Acaa1a/Arg1/Echdc1/Hk1/Ftcd/Oaz1/Aldh1l2/Pah/Hal/Gls2/Pgam2/Gck/Shmt1/Acadvl/Eno3/Pipox/Acox1/Afmid/Slc16a3/Lpin1/Dld/Arg2/Acot2/Acot4/Aldh6a1/Gstz1/Akt1/Akr1c14/Akr1c6/Pfkp/Aldh5a1/Nqo2/Eci2/Hexb/Mccc2/Glud1/Mat1a/Esd/Oxct1/Agxt2/Pfkm/Abat/Prodh/Hgd/Synj2/Acat3/Acat2/Eci1/Hagh/Haghl/Nudt3/Glo1/Cbs/Plin5/Lpin2/Cdo1/Hsd17b4/Acaa2/Cpt1a/Bad/Tkfc/Aldh1a1/Aldh1a7/Hoga1/Got1/Acsl5/Otc/Pgk1/Hsd17b10",175
"GO:0046034","ATP metabolic process","132/5592","232/28905",0.568965517241379,2.94097787479651,14.5375587821294,6.48632420370966e-37,4.15384202005566e-34,2.21286070991821e-34,"Atp6-ps/Ndufb3/Ndufs1/Prkag3/Ndufa10/Pfkfb2/Cfh/Atp1b1/Sdhc/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Slc2a6/Slc25a25/Ak1/Ndufa8/Slc25a12/Atp5mc3/Mtch2/Ndufs3/Bcl2l1/Atp5f1e/Ndufb5/Pklr/Atp5pb/Ampd2/Ndufb6/Galt/Vcp/Aldob/Prkaa2/Ndufs5/Atp5if1/Sdhb/Eno1/Khk/Ppargc1a/Slc4a4/Atp5me/Hnf1a/Atp5mf/Slc25a13/Ndufa5/Ndufb2/Hk2/Tpi1/Gapdh/Ndufa9/Gapdhs/Gpi1/Sphk2/Abcc6/Ampd3/Ndufab1/Aldoa/Insr/Ndufa13/Ndufb7/Prkaca/Hspa8/Atp5mg/Sdhd/Pkm/Clpx/Nt5e/Trex1/Hk1/Atp5f1d/Ndufs7/Zbtb7a/Igf1/Ndufa12/Atp5f1b/Pgam2/Gck/Ogdh/Ppp2ca/Ncor1/Eno3/Git1/Cox11/Atp5mc1/Stat3/Mlx/Atp5pd/Hif1a/Ndufb1/Pfkp/Fbp1/Prxl2c/Ndufs6/Sdha/Ndufs4/Myh6/Myh7/Ep300/Ndufa6/Pfkm/Gpd1/Dnm1l/Ndufb4/Zbtb20/Atp5pf/App/Atp5po/Ndufb10/Jmjd8/Ndufv3/Ndufa7/Ier3/Kat2b/Ndufv2/Ndufa2/Atp5f1a/Ndufs8/Ndufv1/Bad/Tkfc/Ak3/Ndufb11/Pgk1/Pfkfb1/ND1/ND2/ATP8/ATP6/ND3/ND4L/ND4/ND5/ND6",132
