"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006091","generation of precursor metabolites and energy","126/2540","488/28905",0.258196721311475,2.93825835807409,13.4033823775504,4.0654971975572e-29,2.42791492638116e-25,1.7909585022923e-25,"Ndufs1/Rpe/Ndufa10/Pfkfb2/Ndufs2/Opn3/Atp5f1c/Ndufs3/Cat/Idh3b/Pank2/Pygb/Gnas/Etfdh/Hmgcs2/Atp5pb/Adh7/Adh1/Acadm/Galt/Aldob/Pgm1/Uqcrh/Pink1/Sdhb/Mfn2/Khk/Ucn/Atp5me/Acacb/Nipsnap2/Phkg1/Mdh2/Atp5mf/Ndufa5/Suclg1/Hk2/Aldh1l1/Tpi1/Ndufa9/Etfrf1/Slc27a5/Gsk3a/Gapdhs/Gpi1/Gys1/Sphk2/Ldha/Idh2/Uqcrc2/Aldoa/Sirt3/Ndufb7/Gadd45gip1/Coq9/Nfatc3/Cox4i1/Apoc3/Dlat/Acat1/Etfa/Pkm/Rhoa/Uqcrc1/Hk1/Atp5f1d/Igf1/Atp5f1b/Cs/Pgam2/Ogdh/Mdh1/Ppp2ca/Uqcrq/Ncor1/Eno3/Mybbp1a/Nr1d1/Atp5pd/Acox1/Dld/Pygl/Dlst/Ndufb1/Pfkp/Prelid1/Fbp1/Sdha/Oxa1l/Oxct1/Plec/Cyc1/Aco2/Sco2/Pfkm/Gpd1/Comt/Zbtb20/Atp5pf/App/Sod2/Ndufb10/Jmjd8/Ndufv3/Gnmt/Ndufa2/Atp5f1a/Ppp1ca/Pygm/Sdhaf2/Tkfc/Tcf7l2/Ndufb11/Idh3g/Pdha1/ND1/ND2/COX1/COX2/ATP8/COX3/ND3/ND4/ND5/ND6/CYTB",126
"GO:0009150","purine ribonucleotide metabolic process","109/2540","441/28905",0.247165532879819,2.81272430231935,11.9065250848811,1.09842713709056e-23,3.27990343135241e-20,2.41943029932841e-20,"Ndufs1/Ndufa10/Pfkfb2/Cfh/Nme7/Atp1b1/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Ak1/Cacnb4/Atp5mc3/Ndufs3/Pank2/Acss2/Fitm2/Acot8/Tdo2/Hmgcs2/Atp5pb/Uox/Galt/Aldob/Atp5if1/Sdhb/Khk/Ppat/Atp5me/Acacb/Atp5mf/Pdk4/Ndufa5/Suclg1/Hk2/Tpi1/Ndufa9/Far2/Gapdhs/Gpi1/Nudt19/Sphk2/Acsm5/Acsm1/Acsm3/Aldoa/Acsl1/Ndufb7/Gcdh/Nudt7/Hspa8/Dlat/Acat1/Pkm/Rhoa/Hk1/Atp5f1d/Igf1/Nudt4/Atp5f1b/Cs/Pgam2/Ogdh/Ppp2ca/Vdac1/Acsl6/Ncor1/Eno3/Cox11/Nme2/Nme1/Dcakd/Atp5pd/Dld/Ndufb1/Pfkp/Fbp1/Sdha/Oxsm/Myh6/Myh7/Gmpr2/Pfkm/Gpd1/Adcy5/Zbtb20/Atp5pf/App/Ndufb10/Jmjd8/Ndufv3/Rhoq/Ndufa2/Acaa2/Atp5f1a/Bad/Tkfc/Ak3/Pank1/Acsl5/Ndufb11/Pdha1/ND1/ND2/ATP8/ND3/ND4/ND5/ND6",109
"GO:0015980","energy derivation by oxidation of organic compounds","94/2540","351/28905",0.267806267806268,3.04761424052763,11.979816523235,2.93153830851114e-23,5.83571559280951e-20,4.30473256881372e-20,"Ndufs1/Ndufa10/Ndufs2/Opn3/Atp5f1c/Ndufs3/Cat/Idh3b/Pank2/Pygb/Gnas/Atp5pb/Acadm/Pgm1/Uqcrh/Pink1/Sdhb/Mfn2/Khk/Ucn/Atp5me/Nipsnap2/Phkg1/Mdh2/Atp5mf/Ndufa5/Suclg1/Ndufa9/Etfrf1/Gsk3a/Gys1/Ldha/Idh2/Uqcrc2/Sirt3/Ndufb7/Gadd45gip1/Coq9/Nfatc3/Cox4i1/Apoc3/Dlat/Etfa/Rhoa/Uqcrc1/Atp5f1d/Igf1/Atp5f1b/Cs/Ogdh/Mdh1/Uqcrq/Mybbp1a/Nr1d1/Atp5pd/Dld/Pygl/Dlst/Ndufb1/Prelid1/Sdha/Oxa1l/Plec/Cyc1/Aco2/Sco2/Pfkm/Gpd1/Comt/Atp5pf/Sod2/Ndufb10/Ndufv3/Gnmt/Ndufa2/Atp5f1a/Ppp1ca/Pygm/Sdhaf2/Tcf7l2/Ndufb11/Idh3g/Pdha1/ND1/ND2/COX1/COX2/ATP8/COX3/ND3/ND4/ND5/ND6/CYTB",94
"GO:0009060","aerobic respiration","66/2540","199/28905",0.331658291457286,3.77424524195782,12.1889695626955,3.47617510914549e-22,3.8010314552563e-19,2.80384190084387e-19,"Ndufs1/Ndufa10/Ndufs2/Atp5f1c/Ndufs3/Cat/Idh3b/Pank2/Atp5pb/Uqcrh/Pink1/Sdhb/Mfn2/Ucn/Atp5me/Nipsnap2/Mdh2/Atp5mf/Ndufa5/Suclg1/Ndufa9/Idh2/Uqcrc2/Sirt3/Ndufb7/Gadd45gip1/Coq9/Cox4i1/Apoc3/Dlat/Rhoa/Uqcrc1/Atp5f1d/Atp5f1b/Cs/Ogdh/Mdh1/Uqcrq/Atp5pd/Dld/Dlst/Ndufb1/Sdha/Oxa1l/Cyc1/Aco2/Atp5pf/Ndufb10/Ndufv3/Ndufa2/Atp5f1a/Sdhaf2/Ndufb11/Idh3g/Pdha1/ND1/ND2/COX1/COX2/ATP8/COX3/ND3/ND4/ND5/ND6/CYTB",66
"GO:0009259","ribonucleotide metabolic process","109/2540","460/28905",0.23695652173913,2.69654655939747,11.3847546140068,3.95408918727772e-22,3.8010314552563e-19,2.80384190084387e-19,"Ndufs1/Ndufa10/Pfkfb2/Cfh/Nme7/Atp1b1/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Ak1/Cacnb4/Atp5mc3/Ndufs3/Pank2/Acss2/Fitm2/Acot8/Tdo2/Hmgcs2/Atp5pb/Uox/Galt/Aldob/Atp5if1/Sdhb/Khk/Ppat/Atp5me/Acacb/Atp5mf/Pdk4/Ndufa5/Suclg1/Hk2/Tpi1/Ndufa9/Far2/Gapdhs/Gpi1/Nudt19/Sphk2/Acsm5/Acsm1/Acsm3/Aldoa/Acsl1/Ndufb7/Gcdh/Nudt7/Hspa8/Dlat/Acat1/Pkm/Rhoa/Hk1/Atp5f1d/Igf1/Nudt4/Atp5f1b/Cs/Pgam2/Ogdh/Ppp2ca/Vdac1/Acsl6/Ncor1/Eno3/Cox11/Nme2/Nme1/Dcakd/Atp5pd/Dld/Ndufb1/Pfkp/Fbp1/Sdha/Oxsm/Myh6/Myh7/Gmpr2/Pfkm/Gpd1/Adcy5/Zbtb20/Atp5pf/App/Ndufb10/Jmjd8/Ndufv3/Rhoq/Ndufa2/Acaa2/Atp5f1a/Bad/Tkfc/Ak3/Pank1/Acsl5/Ndufb11/Pdha1/ND1/ND2/ATP8/ND3/ND4/ND5/ND6",109
"GO:0045333","cellular respiration","76/2540","255/28905",0.298039215686275,3.39166280685503,11.906652303938,4.21339013316785e-22,3.8010314552563e-19,2.80384190084387e-19,"Ndufs1/Ndufa10/Ndufs2/Opn3/Atp5f1c/Ndufs3/Cat/Idh3b/Pank2/Atp5pb/Uqcrh/Pink1/Sdhb/Mfn2/Ucn/Atp5me/Nipsnap2/Mdh2/Atp5mf/Ndufa5/Suclg1/Ndufa9/Etfrf1/Idh2/Uqcrc2/Sirt3/Ndufb7/Gadd45gip1/Coq9/Nfatc3/Cox4i1/Apoc3/Dlat/Etfa/Rhoa/Uqcrc1/Atp5f1d/Atp5f1b/Cs/Ogdh/Mdh1/Uqcrq/Mybbp1a/Atp5pd/Dld/Dlst/Ndufb1/Prelid1/Sdha/Oxa1l/Plec/Cyc1/Aco2/Sco2/Gpd1/Atp5pf/Sod2/Ndufb10/Ndufv3/Ndufa2/Atp5f1a/Sdhaf2/Ndufb11/Idh3g/Pdha1/ND1/ND2/COX1/COX2/ATP8/COX3/ND3/ND4/ND5/ND6/CYTB",76
"GO:0019693","ribose phosphate metabolic process","111/2540","474/28905",0.234177215189873,2.66491826970996,11.3440456868343,4.45532822953686e-22,3.8010314552563e-19,2.80384190084387e-19,"Ndufs1/Rpe/Ndufa10/Pfkfb2/Cfh/Nme7/Atp1b1/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Ak1/Cacnb4/Atp5mc3/Ndufs3/Pank2/Acss2/Fitm2/Acot8/Tdo2/Hmgcs2/Atp5pb/Uox/Galt/Aldob/Atp5if1/Sdhb/Khk/Ppat/Atp5me/Acacb/Atp5mf/Pdk4/Ndufa5/Suclg1/Hk2/Tpi1/Ndufa9/Far2/Gapdhs/Gpi1/Nudt19/Sphk2/Acsm5/Acsm1/Acsm3/Aldoa/Acsl1/Ndufb7/Gcdh/Nudt7/Hspa8/Dlat/Acat1/Pkm/Rhoa/Hk1/Atp5f1d/Igf1/Nudt4/Atp5f1b/Cs/Pgam2/Ogdh/Ppp2ca/Vdac1/Acsl6/Ncor1/Eno3/Cox11/Nme2/Nme1/Dcakd/Atp5pd/Dld/Pygl/Ndufb1/Pfkp/Fbp1/Sdha/Oxsm/Myh6/Myh7/Gmpr2/Pfkm/Gpd1/Adcy5/Zbtb20/Atp5pf/App/Ndufb10/Jmjd8/Ndufv3/Rhoq/Ndufa2/Acaa2/Atp5f1a/Bad/Tkfc/Ak3/Pank1/Acsl5/Ndufb11/Pdha1/ND1/ND2/ATP8/ND3/ND4/ND5/ND6",111
"GO:0009205","purine ribonucleoside triphosphate metabolic process","74/2540","257/28905",0.287937743190661,3.27670884524648,11.3791244514029,1.39138245621425e-20,1.03866700356394e-17,7.66175734112717e-18,"Ndufs1/Ndufa10/Pfkfb2/Cfh/Nme7/Atp1b1/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Ak1/Atp5mc3/Ndufs3/Atp5pb/Galt/Aldob/Atp5if1/Sdhb/Khk/Atp5me/Atp5mf/Ndufa5/Hk2/Tpi1/Ndufa9/Gapdhs/Gpi1/Sphk2/Aldoa/Ndufb7/Hspa8/Pkm/Rhoa/Hk1/Atp5f1d/Igf1/Atp5f1b/Pgam2/Ogdh/Ppp2ca/Ncor1/Eno3/Cox11/Nme2/Nme1/Atp5pd/Ndufb1/Pfkp/Fbp1/Sdha/Myh6/Myh7/Pfkm/Gpd1/Zbtb20/Atp5pf/App/Ndufb10/Jmjd8/Ndufv3/Rhoq/Ndufa2/Atp5f1a/Bad/Tkfc/Ak3/Ndufb11/ND1/ND2/ATP8/ND3/ND4/ND5/ND6",74
"GO:0009144","purine nucleoside triphosphate metabolic process","75/2540","266/28905",0.281954887218045,3.20862441536913,11.2322227402299,2.98712282935885e-20,1.9821219485479e-17,1.46211801647565e-17,"Ndufs1/Ndufa10/Pfkfb2/Cfh/Nme7/Atp1b1/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Ak1/Atp5mc3/Ndufs3/Atp5pb/Galt/Aldob/Atp5if1/Sdhb/Khk/Atp5me/Atp5mf/Ndufa5/Hk2/Tpi1/Ndufa9/Gapdhs/Gpi1/Sphk2/Aldoa/Ndufb7/Hspa8/Pkm/Rhoa/Hk1/Atp5f1d/Igf1/Atp5f1b/Pgam2/Ogdh/Ppp2ca/Ncor1/Eno3/Cox11/Nme2/Nme1/Atp5pd/Ndufb1/Pfkp/Fbp1/Sdha/Myh6/Myh7/Pfkm/Gpd1/Zbtb20/Atp5pf/App/Ndufb10/Jmjd8/Ndufv3/Rhoq/Ndufa2/Atp5f1a/Bad/Tkfc/Ak3/Oga/Ndufb11/ND1/ND2/ATP8/ND3/ND4/ND5/ND6",75
"GO:0046034","ATP metabolic process","69/2540","232/28905",0.297413793103448,3.38454554710834,11.318659420031,3.86254974953567e-20,2.3067147104227e-17,1.7015548107165e-17,"Ndufs1/Ndufa10/Pfkfb2/Cfh/Atp1b1/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Ak1/Atp5mc3/Ndufs3/Atp5pb/Galt/Aldob/Atp5if1/Sdhb/Khk/Atp5me/Atp5mf/Ndufa5/Hk2/Tpi1/Ndufa9/Gapdhs/Gpi1/Sphk2/Aldoa/Ndufb7/Hspa8/Pkm/Hk1/Atp5f1d/Igf1/Atp5f1b/Pgam2/Ogdh/Ppp2ca/Ncor1/Eno3/Cox11/Atp5pd/Ndufb1/Pfkp/Fbp1/Sdha/Myh6/Myh7/Pfkm/Gpd1/Zbtb20/Atp5pf/App/Ndufb10/Jmjd8/Ndufv3/Ndufa2/Atp5f1a/Bad/Tkfc/Ak3/Ndufb11/ND1/ND2/ATP8/ND3/ND4/ND5/ND6",69
"GO:0009199","ribonucleoside triphosphate metabolic process","74/2540","264/28905",0.28030303030303,3.18982641374374,11.0942898855807,7.73409284916832e-20,4.19890931774847e-17,3.09733766256167e-17,"Ndufs1/Ndufa10/Pfkfb2/Cfh/Nme7/Atp1b1/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Ak1/Atp5mc3/Ndufs3/Atp5pb/Galt/Aldob/Atp5if1/Sdhb/Khk/Atp5me/Atp5mf/Ndufa5/Hk2/Tpi1/Ndufa9/Gapdhs/Gpi1/Sphk2/Aldoa/Ndufb7/Hspa8/Pkm/Rhoa/Hk1/Atp5f1d/Igf1/Atp5f1b/Pgam2/Ogdh/Ppp2ca/Ncor1/Eno3/Cox11/Nme2/Nme1/Atp5pd/Ndufb1/Pfkp/Fbp1/Sdha/Myh6/Myh7/Pfkm/Gpd1/Zbtb20/Atp5pf/App/Ndufb10/Jmjd8/Ndufv3/Rhoq/Ndufa2/Atp5f1a/Bad/Tkfc/Ak3/Ndufb11/ND1/ND2/ATP8/ND3/ND4/ND5/ND6",74
"GO:0044282","small molecule catabolic process","88/2540","353/28905",0.24929178470255,2.83692088064063,10.7780819372444,1.23905970412452e-19,6.16638712752637e-17,4.54865338750976e-17,"Acadl/Dbi/Acmsd/Pfkfb2/Phyh/Nudt5/Crat/Adal/Sord/Slc27a2/Hdc/Acot8/Pck1/Etfdh/Tdo2/Slc16a1/Hadh/Adh7/Adh1/Uox/Acadm/Decr1/Galt/Aldob/Scp2/Echdc2/Hadha/Hadhb/Khk/Abhd1/Ppat/Idua/Acacb/Sds/Hpd/Fabp1/Aldh1l1/Tpi1/Apoe/Bckdha/Gpi1/Nudt19/Il4i1/Il4i1b/Bcat2/Ldha/Aldoa/Gcdh/Got2/Nudt7/Acat1/Etfa/Pkm/Acad11/Amt/Arg1/Echdc1/Hk1/Pgam2/Shmt1/Acadvl/Eno3/Acox1/Afmid/Slc16a3/Dld/Arg2/Aldh6a1/Gstz1/Pfkp/Aldh5a1/Hexb/Glud1/Mat1a/Oxct1/Agxt2/Pfkm/Synj2/Acat3/Haghl/Cbs/Cdo1/Acaa2/Bad/Tkfc/Aldh1a1/Acsl5/Otc",88
"GO:0009141","nucleoside triphosphate metabolic process","76/2540","281/28905",0.270462633451957,3.07784347241292,10.8638252558922,2.4445276484322e-19,1.12297839357208e-16,8.28368276007186e-17,"Ndufs1/Ndufa10/Pfkfb2/Cfh/Nme7/Atp1b1/Ndufs2/Atp1a2/Nudt5/Atp5f1c/Ak1/Atp5mc3/Ndufs3/Atp5pb/Galt/Aldob/Atp5if1/Sdhb/Khk/Atp5me/Atp5mf/Ndufa5/Hk2/Tpi1/Ndufa9/Gapdhs/Gpi1/Sphk2/Aldoa/Ndufb7/Hspa8/Pkm/Rhoa/Tbpl1/Hk1/Atp5f1d/Igf1/Atp5f1b/Pgam2/Ogdh/Ppp2ca/Ncor1/Eno3/Cox11/Nme2/Nme1/Atp5pd/Ndufb1/Pfkp/Fbp1/Sdha/Myh6/Myh7/Pfkm/Gpd1/Zbtb20/Atp5pf/App/Ndufb10/Jmjd8/Ndufv3/Rhoq/Ndufa2/Atp5f1a/Bad/Tkfc/Ak3/Oga/Ndufb11/ND1/ND2/ATP8/ND3/ND4/ND5/ND6",76
