"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006260","DNA replication","20/501","271/28905",0.0738007380073801,4.25790485449765,7.15632601502531,6.8190793022481e-08,0.000248623631359966,0.000232638273879853,"Endog/Rad51/Ccna2/Rbbp4/Rfc5/Lrwd1/Rac1/Atg7/Recql/Ruvbl2/E2f8/Rnaseh2a/Gins2/Carm1/Mcm9/Eme1/Rmi1/Eme2/Chaf1a/Twnk",20
"GO:0007131","reciprocal meiotic recombination","9/501","57/28905",0.157894736842105,9.10967538606996,8.13937633248717,5.65065772674513e-07,0.000686743269057091,0.000642588831311612,"Rad51/Cep63/Sycp3/Eme1/Psmc3ip/Cntd1/Rmi1/Top2b/Eme2",9
"GO:0140527","reciprocal homologous recombination","9/501","57/28905",0.157894736842105,9.10967538606996,8.13937633248717,5.65065772674513e-07,0.000686743269057091,0.000642588831311612,"Rad51/Cep63/Sycp3/Eme1/Psmc3ip/Cntd1/Rmi1/Top2b/Eme2",9
"GO:0035825","homologous recombination","9/501","64/28905",0.140625,8.11330464071856,7.56596492336628,1.55375339392358e-06,0.00141624621856134,0.00132518809202798,"Rad51/Cep63/Sycp3/Eme1/Psmc3ip/Cntd1/Rmi1/Top2b/Eme2",9
"GO:0006261","DNA-templated DNA replication","12/501","148/28905",0.0810810810810811,4.67794141446836,5.95760851201489,1.11728199225781e-05,0.00814722028754396,0.0076233914461212,"Endog/Rad51/Rfc5/Atg7/Recql/E2f8/Gins2/Carm1/Mcm9/Eme1/Eme2/Twnk",12
"GO:0030049","muscle filament sliding","4/501","10/28905",0.4,23.0778443113772,9.27370768139769,1.72388535578991e-05,0.0104754766786833,0.00980195164581595,"Tnnt2/Tpm1/Myh6/Myh7",4
"GO:0006310","DNA recombination","18/501","331/28905",0.054380664652568,3.13747128100295,5.19441746630035,2.24082273545748e-05,0.0116714852763971,0.0109210623843875,"Rad51/Trp53bp1/Cyren/Recql/Ruvbl2/Gins2/Cep63/Wdr48/Mcm9/Sycp3/Eme1/Psmc3ip/Cntd1/Rmi1/Top2b/Eme2/Foxp3/Apex2",18
"GO:0022613","ribonucleoprotein complex biogenesis","21/501","442/28905",0.0475113122171946,2.74114666594413,4.89907670270958,3.56706886514313e-05,0.0144119401558967,0.0134853186030144,"Eif5b/Mterf4/Mettl5/Srpk2/Bud23/Gtf3a/Ruvbl2/Rrp8/Eri2/LTO1/Kri1/Rps25/Tsr1/Prpf39/Ramacl/Mtrex/Nop9/Rrp7a/Bysl/Trmt112/Rbm10",21
"GO:0034470","ncRNA processing","20/501","411/28905",0.048661800486618,2.80752363885368,4.90158199353804,3.90676871873155e-05,0.0144119401558967,0.0134853186030144,"Tyw5/Mterf4/Spout1/Mettl5/Trmt13/Bud23/Ptcd1/Trnt1/Rrp8/Eri2/Ctu2/Kri1/Rps25/Wdr6/Tsr1/Mtrex/Nop9/Rrp7a/Bysl/Trmt112",20
"GO:0033275","actin-myosin filament sliding","4/501","12/28905",0.333333333333333,19.2315369261477,8.38929895472919,3.95280860008137e-05,0.0144119401558967,0.0134853186030144,"Tnnt2/Tpm1/Myh6/Myh7",4
