"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease - Mus musculus (house mouse)","73/1100","273/9787",0.267399267399267,2.37912420912421,8.22369830980043,4.98668469927874e-13,1.67552605895766e-10,1.29128888002376e-10,"227197/22145/67273/226646/11949/69379/18128/14828/15139/19177/228033/68349/19182/16175/11950/12913/230558/66576/67680/12371/19353/68202/12288/66108/232943/110323/67003/23997/11739/66916/17463/12857/15481/26441/22273/170483/66043/13198/11947/22333/22272/22123/71679/102631912/20191/66945/12289/12279/66445/21762/11957/20655/68342/78330/15482/22154/16573/17991/67951/11946/12015/104130/17716/17717/17708/17709/17706/17710/17718/17719/17721/17722/17711",73
"Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction - Mus musculus (house mouse)","35/1100","89/9787",0.393258426966292,3.49892747701736,8.4269730173061,5.93068977973185e-12,6.96334787680976e-10,5.36648990506016e-10,"21956/11931/98660/12298/11464/11928/12373/65973/66576/17906/11938/12288/21954/110323/15464/67003/11937/326618/12857/22003/22273/17897/76757/22272/20191/12289/21924/17888/140781/66445/20541/17708/17709/17710/17711",35
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation - Mus musculus (house mouse)","46/1100","141/9787",0.326241134751773,2.90265635074146,8.09767458484136,7.28977917073671e-12,6.96334787680976e-10,5.36648990506016e-10,"227197/67273/226646/11949/228033/68349/11950/66576/67680/11958/57423/68202/66108/110323/67003/66916/12857/22273/66043/11947/22272/69802/71679/68775/102631912/66945/66445/11957/68342/78330/66237/17991/11946/226139/104130/17716/17717/17708/17709/17706/17710/17718/17719/17721/17722/17711",46
"Metabolism","Global and overview maps","mmu01200","Carbon metabolism - Mus musculus (house mouse)","42/1100","122/9787",0.344262295081967,3.0629955290611,8.15908223636861,8.28969985334496e-12,6.96334787680976e-10,5.36648990506016e-10,"66646/227231/12359/170718/60525/230163/67680/231691/100678/17448/56451/15277/21991/14751/269951/11674/14719/235339/110446/18746/434437/15275/12974/56012/18293/17449/20425/13808/11430/13382/104776/78920/56421/14121/66945/14661/11429/18642/224530/225913/15929/18597",42
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease - Mus musculus (house mouse)","70/1100","274/9787",0.255474452554745,2.27302587923026,7.60532544590784,1.56590096221686e-11,9.47352785154996e-10,7.30102710363813e-10,"227197/22145/67273/226646/11949/14828/19177/228033/68349/19182/18803/14683/11950/66576/68943/67680/12371/170731/22190/68202/66108/232943/110323/67003/23997/11739/66916/17463/12857/26441/14678/22273/66043/13198/11947/22333/22272/22187/67128/22123/71679/102631912/66945/66445/21762/224129/11957/20655/68342/19252/78330/22154/16573/17991/14680/67951/11946/214084/104130/17716/17717/17708/17709/17706/17710/17718/17719/17721/17722/17711",70
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)","62/1100","229/9787",0.270742358078603,2.40886859865026,7.67659723315515,1.69170140206249e-11,9.47352785154996e-10,7.30102710363813e-10,"14859/227197/67273/226646/23797/11949/228033/68349/12359/11950/66576/67680/231583/19353/68202/110157/66108/56615/16653/13107/110323/67003/13106/11739/66916/12857/171429/22273/56484/66043/11947/13649/22333/22272/71679/102631912/66945/13850/66445/11957/20655/20656/68342/78330/22339/75292/17991/11946/12015/104130/237038/17716/17717/17708/17709/17706/17710/17718/17719/17721/17722/17711",62
"Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis - Mus musculus (house mouse)","62/1100","238/9787",0.260504201680672,2.3177769289534,7.32344575776217,9.84884094566062e-11,4.7274436539171e-09,3.64333063553761e-09,"227197/67273/226646/66359/11949/228033/68349/14683/56456/11950/12913/66576/99982/67680/66993/11958/57423/68202/66108/16653/110323/67605/67003/14081/66916/12857/22273/20587/66043/11947/68094/22272/216739/69802/57376/71679/102631912/66945/66445/224129/11957/22084/68342/78330/17991/11946/58988/67155/226139/433256/104130/17716/17717/17708/17709/17706/17710/17718/17719/17721/17722/17711",62
NA,NA,"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","60/1100","232/9787",0.258620689655172,2.30101880877743,7.13635193479982,2.7244349526695e-10,1.14426268012119e-08,8.81856576785127e-09,"14200/14268/13346/12828/53311/21956/11931/98660/74103/241431/22138/16401/17868/11464/640524/668940/11928/59006/56376/21916/373864/433766/15530/58522/17906/93677/68794/22793/320502/21954/12715/13009/12826/12827/17930/326618/11459/16412/22003/13138/17897/22437/16404/20742/380698/13808/21393/11472/109620/22330/21924/24131/17888/140781/18810/17886/17929/20743/107765/18175",60
"Metabolism","Global and overview maps","mmu01230","Biosynthesis of amino acids - Mus musculus (house mouse)","30/1100","79/9787",0.379746835443038,3.37871116225547,7.55360742313774,5.33558078865052e-10,1.9919501610962e-08,1.53514956024331e-08,"66646/227231/14645/11898/170718/230163/231691/100678/109900/232087/21991/12036/269951/11674/14719/18746/11846/12974/56012/20425/13808/217214/11847/56421/11720/11429/18642/12411/18416/15929",30
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","56/1100","217/9787",0.258064516129032,2.29607038123167,6.87015477914566,1.18322398434449e-09,3.97563258739749e-08,3.06392736998679e-08,"227197/67273/226646/23797/21808/11949/228033/68349/11950/66576/67680/12491/11938/19353/27273/68202/66108/21954/110323/14936/67003/11937/11739/66916/12857/11606/22273/18821/66043/11947/22333/22272/71679/102631912/20191/66945/66445/11957/68342/78330/17991/11946/19045/104130/18597/17716/17717/17708/17709/17706/17710/17718/17719/17721/17722/17711",56
