.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Heart_ZT0_1_R1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
Heart_ZT0_1_R2	1	1	1	0.5	0.5	1	1	0.25	0.5	1
Heart_ZT0_2_R1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
Heart_ZT0_2_R2	1	1	1	0.5	0.25	1	1	0.25	0.5	1
Heart_ZT12_1_R1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
Heart_ZT12_1_R2	1	1	1	0.5	0.25	1	1	0.25	0.5	1
Heart_ZT12_2_R1	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
Heart_ZT12_2_R2	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
Liver_ZT0_1_R1	1	1	1	0.25	1	1	1	0.25	0.5	1
Liver_ZT0_1_R2	1	1	1	0.5	1	1	1	0.25	0.5	1
Liver_ZT0_2_R1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
Liver_ZT0_2_R2	1	1	1	0.5	0.5	1	1	0.25	0.5	1
Liver_ZT12_1_R1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
Liver_ZT12_1_R2	1	1	1	0.5	1	1	1	0.25	0.5	1
Liver_ZT12_2_R1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
Liver_ZT12_2_R2	1	1	1	0.25	1	1	1	0.25	0.5	1
