Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
Heart_ZT0_1_R1 - illumina_universal_adapter	(1, 3.530433127910038e-05)	(2, 0.00010086951794028681)	(3, 0.00016391296665296606)	(4, 0.00048669542406188385)	(5, 0.0005799997281566491)	(6, 0.0007161735773760364)	(7, 0.0008473039506984092)	(8, 0.0010994777455491263)	(9, 0.0013667819680908862)	(10, 0.0016202166319158567)	(12, 0.001893825199328885)	(14, 0.0022304772154545923)	(16, 0.0026389987631127536)	(18, 0.0030096942415433073)	(20, 0.00325304195357425)	(22, 0.0034724331550943736)	(24, 0.0037586504122499374)	(26, 0.004017128551971922)	(28, 0.0044786065965487344)	(30, 0.005265388836482972)	(32, 0.006605692556114533)	(34, 0.00837090912006955)	(36, 0.010924168792933061)	(38, 0.014812688709531117)	(40, 0.02034916437547861)	(42, 0.027982465145609814)	(44, 0.03694598268357855)	(46, 0.047290151748354964)	(48, 0.061974231822512216)	(50, 0.0830874827963885)	(52, 0.11047355691717636)	(54, 0.14230671591015664)	(56, 0.17798300353666183)	(58, 0.22139472232021276)	(60, 0.27955104288868515)	(62, 0.3522174436128677)	(64, 0.43834992498207864)	(66, 0.5356158793939487)	(68, 0.6443506979956294)	(70, 0.7715660731529448)	(72, 0.924083306016607)	(74, 1.1107095663717772)	(76, 1.3262942044586294)	(78, 1.5593708778253017)	(80, 1.8124739331100437)	(82, 2.0997856245352597)	(84, 2.43725090114936)	(86, 2.82739654437675)	(88, 3.251567997743347)	(90, 3.5835812769127755)																								
Heart_ZT0_1_R1 - polya	(1, 0.002035042524445286)	(2, 0.003540520079704067)	(3, 0.004584519590386036)	(4, 0.0060673015041082514)	(5, 0.0073079965747737795)	(6, 0.008170430953163232)	(7, 0.00953469118330561)	(8, 0.01170086408107327)	(9, 0.01477486264030351)	(10, 0.017973687227984855)	(12, 0.020448773024444644)	(14, 0.02407629306337221)	(16, 0.027106161208503572)	(18, 0.030025072883900623)	(20, 0.032999462794164824)	(22, 0.03531693996884292)	(24, 0.03763693888146952)	(26, 0.040088068167418486)	(28, 0.042872066862570404)	(30, 0.04561697861952045)	(32, 0.048257238251607465)	(34, 0.05062136757833294)	(36, 0.0529993664637752)	(38, 0.055701408675600625)	(40, 0.0582912335487175)	(42, 0.06088736276670563)	(44, 0.06353014413674113)	(46, 0.0663998819221423)	(48, 0.069018706781667)	(50, 0.0714496621640279)	(52, 0.07395879142279255)	(54, 0.07650574675078478)	(56, 0.07877405003546697)	(58, 0.08114700544501223)	(60, 0.083353526149956)	(62, 0.08557265554464231)	(64, 0.08819274127314126)	(66, 0.09060856622781113)	(68, 0.09296260860274258)	(70, 0.0952384771012703)	(72, 0.09747778039954466)	(74, 0.0997536488980724)	(76, 0.10195008265122213)	(78, 0.10418308160462522)	(80, 0.10639464578546602)	(82, 0.10863268821476613)	(84, 0.11078373068484275)	(86, 0.11296251227235293)	(88, 0.11543129372394145)	(90, 0.11718011899123118)																								
Heart_ZT0_1_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00011599994563132983)	(4, 0.0002294781533141525)	(5, 0.00033286940920294644)	(6, 0.0004160867615036831)	(7, 0.0004967823758559126)	(8, 0.0006329562250752997)	(9, 0.0008775648060804953)	(10, 0.0012192602981032168)	(12, 0.0017122600670363686)	(14, 0.0021169990077717694)	(16, 0.0025431727210694813)	(18, 0.0029353029720623463)	(20, 0.0032681723812652925)	(22, 0.003609867873288014)	(24, 0.003907432951211861)	(26, 0.0042768675606681605)	(28, 0.004600910887051332)	(30, 0.004951432461893829)	(32, 0.005280519264174015)	(34, 0.005633562576965018)	(36, 0.005960127641296697)	(38, 0.006303084002293672)	(40, 0.006711605549951833)	(42, 0.00716425751170887)	(44, 0.007600518176800611)	(46, 0.00805695274548041)	(48, 0.008509604707237446)	(50, 0.009032865331552684)	(52, 0.009639343308168659)	(54, 0.010147473504792854)	(56, 0.010743864529614799)	(58, 0.011316299043925926)	(60, 0.011992124814125848)	(62, 0.012562037590488469)	(64, 0.013148341663516385)	(66, 0.013734645736544301)	(68, 0.015709166550225417)	(70, 0.09588152027813962)	(72, 0.11972581345024917)	(74, 0.12178607335417954)	(76, 0.12285781198229508)	(78, 0.12385642020990392)	(80, 0.12487772407904932)	(82, 0.1258082453820485)	(84, 0.12671481017453678)	(86, 0.12760246193241132)	(88, 0.1286653744777071)	(90, 0.12949628713174022)																								
Heart_ZT0_1_R2 - illumina_universal_adapter	(1, 2.2695641536564532e-05)	(2, 3.530433127910038e-05)	(3, 8.826082819775095e-05)	(4, 0.00033539114715145366)	(5, 0.00040852154765816156)	(6, 0.0005396519209805344)	(7, 0.0006354779630238069)	(8, 0.0007716518122431941)	(9, 0.0009557386824842175)	(10, 0.0011927820496438915)	(12, 0.0014512601893658765)	(14, 0.0017677383019035263)	(16, 0.0021712163736646735)	(18, 0.0025431727210694813)	(20, 0.0027865204331004234)	(22, 0.0030197811933373366)	(24, 0.0033123027953641682)	(26, 0.0035720418040604066)	(28, 0.004034780717611473)	(30, 0.004835432516262499)	(32, 0.006185823187688089)	(34, 0.007973735393179672)	(36, 0.010563560266296537)	(38, 0.014459645396740113)	(40, 0.02001503409730141)	(42, 0.02769624788845425)	(44, 0.03667489585411403)	(46, 0.04708841271247439)	(48, 0.06184562318713835)	(50, 0.08300426544408776)	(52, 0.11049246995179017)	(54, 0.14235967240707528)	(56, 0.17816204693100585)	(58, 0.22170489608787913)	(60, 0.2799961296365966)	(62, 0.3527621390097453)	(64, 0.4390522290007379)	(66, 0.536373661647475)	(68, 0.6451601758771002)	(70, 0.7725230727044032)	(72, 0.9252924793629163)	(74, 1.112130565705761)	(76, 1.3279270297802879)	(78, 1.5610553987749043)	(80, 1.8141206279904187)	(82, 2.1012267977728314)	(84, 2.4386580309246275)	(86, 2.8289398480012364)	(88, 3.2529158666768243)	(90, 3.584683276396273)																								
Heart_ZT0_1_R2 - polya	(1, 0.005673910384141133)	(2, 0.008906778434127325)	(3, 0.01729912232675919)	(4, 0.026026857366542505)	(5, 0.0348176358550385)	(6, 0.043066240684605454)	(7, 0.052172236416664845)	(8, 0.06488431741508949)	(9, 0.07862778923445357)	(10, 0.09696838933394622)	(12, 0.11915716154286081)	(14, 0.1447931495273847)	(16, 0.16855548621616775)	(18, 0.18959812852748587)	(20, 0.20991198857168536)	(22, 0.2279625888070997)	(24, 0.2453424067482111)	(26, 0.26058631264693694)	(28, 0.27585543592514783)	(30, 0.29082573325646066)	(32, 0.30533959601909366)	(34, 0.3217170231256735)	(36, 0.33529658197838463)	(38, 0.3477993587270832)	(40, 0.35945609239405757)	(42, 0.3710573478261648)	(44, 0.3828578205562041)	(46, 0.3927493376592235)	(48, 0.40290437637786186)	(50, 0.41325358891853525)	(52, 0.4227769322810726)	(54, 0.43206323227645027)	(56, 0.44136214096157045)	(58, 0.44999783256623327)	(60, 0.4589689153180475)	(62, 0.46716582451967004)	(64, 0.47543838585974785)	(66, 0.4836264689785506)	(68, 0.4923151170801321)	(70, 0.5003304611494621)	(72, 0.508031848844203)	(74, 0.5153915410469212)	(76, 0.5230160157342326)	(78, 0.529576317007274)	(80, 0.5365312702692568)	(82, 0.5434483974620119)	(84, 0.5501183943358134)	(86, 0.5566408695396272)	(88, 0.5630813882601144)	(90, 0.5679533859766304)																								
Heart_ZT0_1_R2 - polyg	(1, 0.48767133664795614)	(2, 0.504864545980878)	(3, 0.5050057633059944)	(4, 0.5051343719413682)	(5, 0.5052150675557205)	(6, 0.5052957631700727)	(7, 0.5054722848264682)	(8, 0.5060068932715518)	(9, 0.5066524581863696)	(10, 0.5078162402496056)	(12, 0.5097529349940592)	(14, 0.5108877170708874)	(16, 0.5111524995554806)	(18, 0.5114311515987907)	(20, 0.511661890621079)	(22, 0.5119140644159298)	(24, 0.5121826295074459)	(26, 0.5124234554815282)	(28, 0.5127147162145809)	(30, 0.5130337160650671)	(32, 0.5133451507017076)	(34, 0.5137019766214215)	(36, 0.5140625851480579)	(38, 0.5144496719231537)	(40, 0.5148972804090137)	(42, 0.5152780628392384)	(44, 0.5156399322348492)	(46, 0.5159917146786659)	(48, 0.5164884970545218)	(50, 0.5169461924921759)	(52, 0.5173534531708598)	(54, 0.5178578007605612)	(56, 0.5183823222538506)	(58, 0.519000148051235)	(60, 0.5195183651996531)	(62, 0.5200529736447367)	(64, 0.5205573212344381)	(66, 0.5211322774866978)	(68, 0.5217160598217772)	(70, 0.5223628856055693)	(72, 0.5230210592101296)	(74, 0.5237574066910937)	(76, 0.5245731889174358)	(78, 0.5256386232006801)	(80, 0.5270407095000501)	(82, 0.52844279579942)	(84, 0.5300541863485162)	(86, 0.5315193160965987)	(88, 0.5332580544120945)	(90, 0.5345277494691678)																								
Heart_ZT0_2_R1 - illumina_universal_adapter	(1, 4.027868512401265e-05)	(2, 7.745900985387048e-05)	(3, 0.00011154097418957349)	(4, 0.00043996717596998434)	(5, 0.0004926393026706162)	(6, 0.0006196720788309638)	(7, 0.0007126228906556084)	(8, 0.0009171146766698265)	(9, 0.0011216064626840445)	(10, 0.0013570818526398108)	(12, 0.001592557242595577)	(14, 0.0018481719751133495)	(16, 0.0021673030957112963)	(18, 0.002474040774732623)	(20, 0.0026955735429146925)	(22, 0.002910909590308453)	(24, 0.0030844177723811225)	(26, 0.003316794801942734)	(28, 0.003604942318599132)	(30, 0.004068147197525278)	(32, 0.004926393026706163)	(34, 0.006162638823973936)	(36, 0.007779982949722751)	(38, 0.010252474544258296)	(40, 0.01392867915192299)	(42, 0.0192563098496722)	(44, 0.025724137172470386)	(46, 0.0333492021024854)	(48, 0.04427402085227529)	(50, 0.06042267522661021)	(52, 0.08167123080972395)	(54, 0.10619630250965642)	(56, 0.13418843949064815)	(58, 0.1686855841191679)	(60, 0.2143290802656596)	(62, 0.27320722283578364)	(64, 0.34411010209562254)	(66, 0.42422595598748075)	(68, 0.5151612843757276)	(70, 0.6218207917643102)	(72, 0.7522757069800018)	(74, 0.9129132999753525)	(76, 1.0989512514819846)	(78, 1.3030867260508747)	(80, 1.5263437317922914)	(82, 1.7873929884414115)	(84, 2.0970865032787627)	(86, 2.4569641614202387)	(88, 2.84963486597345)	(90, 3.1591037496822243)																								
Heart_ZT0_2_R1 - polya	(1, 0.0021161801492077417)	(2, 0.0038822455738759883)	(3, 0.0050472290820782004)	(4, 0.006655278126644551)	(5, 0.007820261634846764)	(6, 0.008632032058115326)	(7, 0.00986208113459479)	(8, 0.011959671121437603)	(9, 0.014745097115782785)	(10, 0.017962744385112563)	(12, 0.020460022862801346)	(14, 0.023888358638933654)	(16, 0.027215997702255933)	(18, 0.030346890880549378)	(20, 0.03323456276790167)	(22, 0.035753529768349536)	(24, 0.03830348037273895)	(26, 0.04090300474343485)	(28, 0.04382011105453161)	(30, 0.04696959439518998)	(32, 0.04978445481327963)	(34, 0.052145405433625606)	(36, 0.05487970848146723)	(38, 0.05760781480852055)	(40, 0.06037774900089496)	(42, 0.06320035531997001)	(44, 0.06566819937391431)	(46, 0.06863642863151463)	(48, 0.07127468250713746)	(50, 0.0739532150678843)	(52, 0.07669836237710548)	(54, 0.07936759985666986)	(56, 0.0816820750711035)	(58, 0.0841716076478069)	(60, 0.08655734515130611)	(62, 0.08880985315785667)	(64, 0.09132727097810744)	(66, 0.09370836094101542)	(68, 0.09603987713761693)	(70, 0.09853715561530571)	(72, 0.10119709801368762)	(74, 0.1034542535608294)	(76, 0.10560606485456994)	(78, 0.10782913843737602)	(80, 0.11016840053496291)	(82, 0.11254484295727965)	(84, 0.11506071159733336)	(86, 0.11737363763156994)	(88, 0.1195641784302374)	(90, 0.12136897335983257)																								
Heart_ZT0_2_R2 - illumina_universal_adapter	(1, 2.1688522759083735e-05)	(2, 4.027868512401265e-05)	(3, 6.816392867140603e-05)	(4, 0.0003191311205979464)	(5, 0.0003656065265102687)	(6, 0.00047404914030568736)	(7, 0.0005422130689770934)	(8, 0.0006568524035608217)	(9, 0.0007900819005094789)	(10, 0.0010054179479032387)	(12, 0.0012346966170706955)	(14, 0.0014825654486030808)	(16, 0.0017985982088068726)	(18, 0.002109983428419432)	(20, 0.0023284178362073466)	(22, 0.002549950604389416)	(24, 0.002726557146856241)	(26, 0.002975975158585704)	(28, 0.0032858111980011854)	(30, 0.0037738029600805694)	(32, 0.004638245510049764)	(34, 0.005902376550864931)	(36, 0.00755380264094945)	(38, 0.01005263029883531)	(40, 0.013769113591624017)	(42, 0.01912462953292062)	(44, 0.025663719144784367)	(46, 0.033325964399529236)	(48, 0.0442941601948373)	(50, 0.060517175218631925)	(52, 0.08189896029869434)	(54, 0.10656655657675793)	(56, 0.13473065255962524)	(58, 0.16939975619002057)	(60, 0.21524464576213237)	(62, 0.2743071407757086)	(64, 0.3455446429581162)	(66, 0.4260477918992438)	(68, 0.51737041533676)	(70, 0.6243908817112616)	(72, 0.7553430837702151)	(74, 0.916505848852375)	(76, 1.1031991035823707)	(78, 1.307893832202406)	(80, 1.5317240346167413)	(82, 1.7933821190833128)	(84, 2.1039865518765453)	(86, 2.464974972219326)	(88, 2.8585550455482216)	(90, 3.1686157160922797)																								
Heart_ZT0_2_R2 - polya	(1, 0.005072015965231439)	(2, 0.007429868225183257)	(3, 0.01190699899473697)	(4, 0.01753981819131043)	(5, 0.022729571851519755)	(6, 0.027770604212809646)	(7, 0.03341271849056557)	(8, 0.04119889816107663)	(9, 0.04916478273444867)	(10, 0.05906714255416748)	(12, 0.07192069064931875)	(14, 0.0868052139828385)	(16, 0.1012265324374321)	(18, 0.11430626084135667)	(20, 0.12642394834289616)	(22, 0.1376895867360431)	(24, 0.14794515964069554)	(26, 0.15710081460542302)	(28, 0.16665615806099648)	(30, 0.17587842777419832)	(32, 0.1849721155310427)	(34, 0.1955127375919574)	(36, 0.20408590080258376)	(38, 0.21217262143132787)	(40, 0.21958854703473743)	(42, 0.2271872759014021)	(44, 0.23475966870471648)	(46, 0.24118876652258775)	(48, 0.24779447088292583)	(50, 0.2548014129143069)	(52, 0.2614830271043018)	(54, 0.2680143708151802)	(56, 0.27435671454201505)	(58, 0.28028077961563913)	(60, 0.28693295938188945)	(62, 0.2925580326774776)	(64, 0.29806691745828484)	(66, 0.3034813022470704)	(68, 0.3092612935623662)	(70, 0.3147593340817939)	(72, 0.3199119074172734)	(74, 0.3252054561506869)	(76, 0.33091108681652304)	(78, 0.33569340608490095)	(80, 0.340897102366884)	(82, 0.34579406096984566)	(84, 0.3504989212283698)	(86, 0.3552099782076822)	(88, 0.3598265351949729)	(90, 0.3637382151925933)																								
