Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Heart_ZT0_1_R1	0.18667165163824329	0.21133929225054043
Heart_ZT0_1_R2	0.10102586569309426	0.0
Heart_ZT0_2_R1	0.2186079159699874	0.5428482328578951
Heart_ZT0_2_R2	0.11091200702956006	0.0
Heart_ZT12_1_R1	0.2630454998469031	1.1572632513288563
Heart_ZT12_1_R2	0.13384033141990007	0.0
Heart_ZT12_2_R1	0.22803018005514603	0.8945258570418309
Heart_ZT12_2_R2	0.1192470980402348	0.10336589795381095
Liver_ZT0_1_R1	0.17972402269841656	0.8582418227506189
Liver_ZT0_1_R2	0.22134016587374497	1.2586073461453844
Liver_ZT0_2_R1	0.1609884792863488	0.37352510546869727
Liver_ZT0_2_R2	0.23555296947346344	0.9782285892852789
Liver_ZT12_1_R1	0.17160405152513333	1.043809889614597
Liver_ZT12_1_R2	0.294340160755379	1.5182027103497473
Liver_ZT12_2_R1	0.1477360068021374	0.14411676838128873
Liver_ZT12_2_R2	0.2198959327520841	0.8101436736111317
