Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
Heart_ZT0_1_R1	(1, 0.04956728111585694)	(2, 0.0)	(3, 0.016991470297041313)	(4, 0.0006052171076417209)	(5, 5.0434758970143405e-06)	(6, 4.5391283073129064e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0017879122054915836)	(14, 6.304344871267926e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.000680869246096936)	(72, 0.0008132604883935624)	(74, 0.001443694975520355)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
Heart_ZT0_1_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.003701911308408526)	(7, 5.0434758970143405e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 1.2608689742535851e-06)	(36, 2.395651051081812e-05)	(38, 4.791302102163624e-05)	(40, 7.186953153245435e-05)	(42, 0.00014247819409065511)	(44, 2.7739117433578873e-05)	(46, 0.000978434324020782)	(48, 0.0019745208136811142)	(50, 0.0011309994699054658)	(52, 0.00010339125588879397)	(54, 5.0434758970143405e-06)	(56, 0.001200347263489413)	(58, 0.0005182171484182234)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 1.2608689742535851e-06)	(70, 0.0)	(72, 5.7999972815664915e-05)	(74, 1.765216563955019e-05)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0007640865983976725)	(88, 4.1608676150368306e-05)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
Heart_ZT0_2_R1	(1, 0.049409553205586904)	(2, 0.0)	(3, 0.016734244488830177)	(4, 0.0005669999521303319)	(5, 1.8590162364928915e-05)	(6, 5.577048709478674e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.001978303111667852)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 1.5491801970774095e-06)	(70, 0.0007931802609036337)	(72, 0.0008164179638597949)	(74, 0.0014593277456469197)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
Heart_ZT0_2_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.003894639015452608)	(7, 5.577048709478674e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 1.5491801970774095e-06)	(36, 4.95737663064771e-05)	(38, 6.196720788309638e-05)	(40, 8.520491083925753e-05)	(42, 0.0001301311365545024)	(44, 3.098360394154819e-05)	(46, 0.0010333031914506322)	(48, 0.0020759014640837287)	(50, 0.0012223031754940762)	(52, 0.00011773769497788312)	(54, 7.745900985387048e-06)	(56, 0.0013818687357930494)	(58, 0.000616573718436809)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 1.5491801970774095e-06)	(70, 1.5491801970774095e-06)	(72, 0.00010379507320418645)	(74, 4.182786532109006e-05)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0007482540351883888)	(88, 6.196720788309638e-05)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
Heart_ZT12_1_R1	(1, 0.00011252720075731286)	(2, 0.020822320531624465)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0007637484476932509)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0002202660099930379)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 2.1547761847145014e-05)	(72, 0.0)	(74, 0.0)	(76, 0.00013048366896326703)	(78, 0.0)	(80, 1.1970978803969453e-06)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.00019392985662430515)	(98, 0.0)	(100, 0.0)
Heart_ZT12_1_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00023223698879700736)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.00045010880302925145)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00022864569515581654)	(22, 0.0)	(24, 2.6336153368732797e-05)	(26, 0.0)	(28, 1.1970978803969453e-06)	(30, 0.0)	(32, 0.0005015840118863201)	(34, 0.0)	(36, 0.00011492139651810674)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 2.274485972754196e-05)	(46, 1.5562272445160288e-05)	(48, 0.0005303143610158467)	(50, 2.0350663966748068e-05)	(52, 0.0)	(54, 0.0)	(56, 7.18258728238167e-05)	(58, 0.0001903385629831143)	(60, 0.0001484401371692212)	(62, 0.0024384883823685773)	(64, 1.1970978803969453e-06)	(66, 0.000591366352916091)	(68, 7.18258728238167e-05)	(70, 0.0036930469610245756)	(72, 2.9927447009923627e-05)	(74, 0.002291245343079753)	(76, 8.020555798659532e-05)	(78, 0.0017082586753264409)	(80, 0.0005171462843314804)	(82, 0.0006069286253612512)	(84, 1.5562272445160288e-05)	(86, 0.0003974364962917858)	(88, 0.000591366352916091)	(90, 0.0008966263124173118)	(92, 0.00039384520265059496)	(94, 0.002602490791982959)	(96, 0.00018674726934192346)	(98, 0.0011743530206694032)	(100, 5.746069825905337e-05)
Heart_ZT12_2_R1	(1, 0.004984060422379662)	(2, 0.005894247779111464)	(3, 0.03335679733567446)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0001757603171620032)	(8, 0.00015065170042457415)	(9, 0.00010043446694971611)	(10, 0.0)	(15, 1.2554308368714511e-06)	(20, 2.5108616737429023e-06)	(25, 0.001162528954942964)	(30, 8.788015858100158e-06)	(35, 2.5108616737429028e-05)	(40, 0.0)	(45, 0.0025723777847496037)	(50, 0.0007331716087329276)	(55, 0.006444126485661159)	(60, 1.883146255307177e-05)	(65, 0.0)	(70, 0.021637350473479464)	(75, 0.008450304962981738)	(80, 0.0)	(85, 0.0011524855082479923)	(90, 0.003021822024349583)	(95, 2.5108616737429023e-06)	(100, 8.788015858100158e-06)	(105, 0.0)	(110, 0.08543206844910226)	(115, 0.0)	(120, 0.0004984060422379661)	(125, 0.002166873624440125)	(130, 0.004370154743149522)	(135, 0.0014675986483027265)	(140, 0.0021229335451496243)	(145, 0.0007080629919954985)	(150, 0.0)																	
Heart_ZT12_2_R2	(1, 0.009327851117954884)	(2, 0.014883132571111055)	(3, 0.011593903778507853)	(4, 0.000244809013189933)	(5, 0.0)	(6, 0.0)	(7, 0.000244809013189933)	(8, 0.0)	(9, 0.0)	(10, 1.6320600879328868e-05)	(15, 5.0217233474858056e-05)	(20, 0.0027858010270177505)	(25, 0.00024104272067931867)	(30, 0.0002159341039418896)	(35, 0.0002987925391754054)	(40, 0.0018668256544278482)	(45, 0.0018931897020021487)	(50, 0.0022208571504255975)	(55, 0.00039797157528825004)	(60, 0.0004042487294726073)	(65, 0.0006829543752580696)	(70, 0.0002397872898424472)	(75, 0.002756926117769707)	(80, 0.00034524348013964914)	(85, 0.00047078656382679423)	(90, 0.0005561558607340528)	(95, 0.0016006743170111004)	(100, 0.0015366473443306564)	(105, 0.0003063251241966341)	(110, 0.0003213902942390915)	(115, 0.0003690966660402067)	(120, 0.0019132765953920917)	(125, 0.0008737798624625301)	(130, 0.0003565423576714922)	(135, 0.0003653303735295923)	(140, 0.00040927045282009315)	(145, 0.00033771089511842043)	(150, 9.415731276535885e-05)																	
Liver_ZT0_1_R1	(1, 0.047224450061273696)	(2, 0.0)	(3, 0.020363811665080875)	(4, 0.0002733907215897488)	(5, 6.83476803974372e-05)	(6, 3.797093355413178e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.1391280066239534e-05)	(14, 0.0035749633941215076)	(16, 0.00012720262740634146)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0001917532144483655)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0008429547249017256)	(66, 0.002826936003105111)	(68, 0.0004518541092941682)	(70, 0.00024870961477956315)	(72, 0.0)	(74, 0.0)	(76, 5.695640033119767e-06)	(78, 0.00023541978803561704)	(80, 0.0)	(82, 0.0)	(84, 3.7970933554131778e-06)	(86, 0.00014808664086111392)	(88, 1.898546677706589e-05)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
Liver_ZT0_1_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00019365176112607206)	(5, 0.00014428954750570077)	(6, 0.0011125483531360613)	(7, 0.0021909228660734036)	(8, 4.5565120264958137e-05)	(9, 0.0009075053119437496)	(10, 0.00033604276195406624)	(12, 0.0009568675255641208)	(14, 5.695640033119767e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 9.492733388532946e-06)	(42, 9.492733388532946e-06)	(44, 0.00011581134734010193)	(46, 5.885494700890426e-05)	(48, 0.0)	(50, 3.7970933554131778e-06)	(52, 8.163750714138334e-05)	(54, 0.0003208543885324136)	(56, 9.302878720762286e-05)	(58, 5.695640033119767e-05)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 2.0884013454772478e-05)	(68, 0.0009549689788864143)	(70, 0.00018605757441524573)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 1.8985466777065889e-06)	(82, 0.0)	(84, 0.00039110061560755735)	(86, 0.00014808664086111392)	(88, 6.83476803974372e-05)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.00022023141461396435)
