Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
Heart_ZT0_1_R1	(1, 36.66135596219925)	(2, 36.606630768718276)	(3, 36.71114656842783)	(4, 36.714339441713946)	(5, 36.70304190440036)	(6, 36.67256937433488)	(7, 36.6439084608116)	(8, 36.679206185137275)	(9, 36.67689299491711)	(10, 36.685792889006635)	(12, 36.68242697406249)	(14, 36.67050549573699)	(16, 36.67137596185074)	(18, 36.66042264176713)	(20, 36.66033922267579)	(22, 36.65008752574158)	(24, 36.63549622040655)	(26, 36.6169195604177)	(28, 36.61315208392263)	(30, 36.606075734195805)	(32, 36.60196172047185)	(34, 36.60020303520919)	(36, 36.58877595621718)	(38, 36.58343161176553)	(40, 36.58347072392111)	(42, 36.57901324948857)	(44, 36.56504140908059)	(46, 36.56252340330425)	(48, 36.540731754387465)	(50, 36.55377786479455)	(52, 36.549377734682956)	(54, 36.53580102539413)	(56, 36.52233882822554)	(58, 36.52077905765225)	(60, 36.51529357152762)	(62, 36.49725247824428)	(64, 36.50154838492645)	(66, 36.49058548223863)	(68, 36.48149560041206)	(70, 36.471726110208365)	(72, 36.49951423761898)	(74, 36.49642230950293)	(76, 36.490514621402276)	(78, 36.47708664421765)	(80, 36.46991779714287)	(82, 36.46923370007221)	(84, 36.47372791622665)	(86, 36.46554649049604)	(88, 36.45814097831479)	(90, 36.454882212016074)	(92, 36.43273870500334)	(94, 36.438540089240774)	(96, 36.43293189534757)	(98, 36.41811877794259)	(100, 36.35622826781997)
Heart_ZT0_1_R2	(1, 36.33608873552015)	(2, 36.23712202016629)	(3, 36.36422144581273)	(4, 36.35940936458987)	(5, 36.400025535118466)	(6, 36.36229730932326)	(7, 36.344678783667945)	(8, 36.40081181301081)	(9, 36.370823406196685)	(10, 36.39369269460838)	(12, 36.387246577629654)	(14, 36.361387264532404)	(16, 36.36839661168193)	(18, 36.35946012717477)	(20, 36.356745753664384)	(22, 36.350085919394516)	(24, 36.324157813286035)	(26, 36.316239354388685)	(28, 36.30591606531412)	(30, 36.295533212789216)	(32, 36.28856370909927)	(34, 36.27617873533884)	(36, 36.26965535230936)	(38, 36.264297957863825)	(40, 36.25518166083225)	(42, 36.24141957858683)	(44, 36.23640655267554)	(46, 36.229021163963125)	(48, 36.21198626933861)	(50, 36.20912277285463)	(52, 36.20629894330858)	(54, 36.19325205116274)	(56, 36.18429271970976)	(58, 36.18906570138573)	(60, 36.17056011658096)	(62, 36.17340894915876)	(64, 36.16400967530329)	(66, 36.140410570711914)	(68, 36.113620950659396)	(70, 36.131091614210106)	(72, 36.106803167333126)	(74, 36.10372846268727)	(76, 36.09506051805424)	(78, 36.08352142346257)	(80, 36.097798621118734)	(82, 36.083560106922704)	(84, 36.060908747104506)	(86, 36.06495512781669)	(88, 36.036455391174385)	(90, 36.022634136348)	(92, 36.01854012000598)	(94, 36.0053401079319)	(96, 36.002000620801454)	(98, 35.98859254012923)	(100, 35.893327660431645)
Heart_ZT0_2_R1	(1, 36.60833096437862)	(2, 36.56107765312213)	(3, 36.681443098533904)	(4, 36.69030701188392)	(5, 36.67938842083852)	(6, 36.65290828372987)	(7, 36.619435147211625)	(8, 36.66793706672335)	(9, 36.6574849958025)	(10, 36.67665318828256)	(12, 36.66668069707532)	(14, 36.65397622659053)	(16, 36.65397061855822)	(18, 36.64614462495665)	(20, 36.642914336376904)	(22, 36.63561270928844)	(24, 36.62494093363203)	(26, 36.60508242645616)	(28, 36.59989137148458)	(30, 36.59263814078547)	(32, 36.58833736868955)	(34, 36.58435712197641)	(36, 36.57644040838249)	(38, 36.569068045726226)	(40, 36.56791176861073)	(42, 36.562843253792735)	(44, 36.55894328559741)	(46, 36.54750302361245)	(48, 36.54132036938033)	(50, 36.545958088169115)	(52, 36.53805838457376)	(54, 36.53072217978329)	(56, 36.52350293809771)	(58, 36.51680152538479)	(60, 36.51119671536618)	(62, 36.49181736962525)	(64, 36.488637770221565)	(66, 36.48553984359786)	(68, 36.47781834220058)	(70, 36.468475685694266)	(72, 36.48533564615609)	(74, 36.47354940575771)	(76, 36.46286427616802)	(78, 36.451822990051014)	(80, 36.44306414210196)	(82, 36.43830769414288)	(84, 36.438815391477064)	(86, 36.425654393079995)	(88, 36.42381204602242)	(90, 36.417467564426914)	(92, 36.38907326026676)	(94, 36.389726549555874)	(96, 36.383984482171805)	(98, 36.37114670473106)	(100, 36.30849550280735)
Heart_ZT0_2_R2	(1, 36.418697024814925)	(2, 36.323655129560265)	(3, 36.4417446123773)	(4, 36.44496163997455)	(5, 36.48085973923889)	(6, 36.4282193707323)	(7, 36.41171629491247)	(8, 36.49953101667894)	(9, 36.477937427682335)	(10, 36.4946971406936)	(12, 36.48897267199657)	(14, 36.463547836438174)	(16, 36.47498571268563)	(18, 36.467655208878284)	(20, 36.46696517303491)	(22, 36.456783000288)	(24, 36.438222241363206)	(26, 36.43328038751813)	(28, 36.42497495362916)	(30, 36.41349112869706)	(32, 36.40661862452318)	(34, 36.396281084494305)	(36, 36.39118751943253)	(38, 36.38593415643343)	(40, 36.379777296051586)	(42, 36.366975630001235)	(44, 36.36365242159328)	(46, 36.35521337091231)	(48, 36.3393911442973)	(50, 36.3366053000243)	(52, 36.333673120189886)	(54, 36.32313105739139)	(56, 36.31412943741366)	(58, 36.31761131285741)	(60, 36.30138997094822)	(62, 36.30397750466419)	(64, 36.296803065269906)	(66, 36.277701921308775)	(68, 36.25285844660293)	(70, 36.27428419741699)	(72, 36.25089594512927)	(74, 36.24799089144011)	(76, 36.2402384684061)	(78, 36.22919101655191)	(80, 36.24145832387688)	(82, 36.22617129254456)	(84, 36.20346948200216)	(86, 36.20214045580289)	(88, 36.17341622273617)	(90, 36.15968404160044)	(92, 36.15413382469198)	(94, 36.141484334612386)	(96, 36.1333446010373)	(98, 36.11603604446581)	(100, 36.0273609080179)
Heart_ZT12_1_R1	(1, 36.71967915669913)	(2, 36.62097829280866)	(3, 36.72176883470111)	(4, 36.71267136964924)	(5, 36.68959342940746)	(6, 36.658112532420105)	(7, 36.62101959268553)	(8, 36.680791408112476)	(9, 36.65237053272699)	(10, 36.66990430567138)	(12, 36.6703767283789)	(14, 36.651344715611316)	(16, 36.65107666145394)	(18, 36.652543657022456)	(20, 36.638508522343315)	(22, 36.629587748938604)	(24, 36.62012073977105)	(26, 36.60956116331003)	(28, 36.59995972005052)	(30, 36.593905301752585)	(32, 36.5822345072131)	(34, 36.5835512191137)	(36, 36.566809374301116)	(38, 36.566103206261474)	(40, 36.56408114034778)	(42, 36.56239529134477)	(44, 36.55073778459176)	(46, 36.54797368558593)	(48, 36.53519387562809)	(50, 36.537025339617266)	(52, 36.53771388637611)	(54, 36.534523644466816)	(56, 36.520746101309584)	(58, 36.51402430094332)	(60, 36.51145985392198)	(62, 36.500739243854085)	(64, 36.501356180217726)	(66, 36.48356917318772)	(68, 36.479143717801506)	(70, 36.473292375188)	(72, 36.47585631942823)	(74, 36.47742130942923)	(76, 36.472660391304004)	(78, 36.450442697570054)	(80, 36.443468321522005)	(82, 36.43446685174917)	(84, 36.44384340820088)	(86, 36.4320889125776)	(88, 36.4130044429809)	(90, 36.42219207344512)	(92, 36.41953674275269)	(94, 36.41442331521462)	(96, 36.42460257367904)	(98, 36.41210705052584)	(100, 36.33213260425603)
Heart_ZT12_1_R2	(1, 36.420031024467505)	(2, 36.214464370883526)	(3, 36.32266880331081)	(4, 36.31478859526765)	(5, 36.33536196732406)	(6, 36.28808715945169)	(7, 36.28071373082521)	(8, 36.342911824236154)	(9, 36.32084993279133)	(10, 36.33403021987408)	(12, 36.342169192595065)	(14, 36.300052224592136)	(16, 36.30419387201285)	(18, 36.30726766024035)	(20, 36.303676306744265)	(22, 36.27507343656802)	(24, 36.24225617133286)	(26, 36.22943319402546)	(28, 36.22594067293038)	(30, 36.21519845524574)	(32, 36.19827380161584)	(34, 36.208615757653185)	(36, 36.18116620748785)	(38, 36.16579865498392)	(40, 36.16143319814347)	(42, 36.14519458933785)	(44, 36.150200984354434)	(46, 36.12206204946174)	(48, 36.117117819738084)	(50, 36.13015237212487)	(52, 36.11747925950111)	(54, 36.06602368304928)	(56, 36.08937781771402)	(58, 36.078799913684456)	(60, 36.07630019374551)	(62, 36.05739585146687)	(64, 36.04458745481165)	(66, 36.05439713324746)	(68, 36.00910641934401)	(70, 36.036212581982355)	(72, 35.999597260360105)	(74, 36.00324104674334)	(76, 35.96918704771697)	(78, 35.97629570223425)	(80, 35.98305522315472)	(82, 35.98243348642858)	(84, 35.944789091584425)	(86, 35.94344765961259)	(88, 35.950890783277664)	(90, 35.94290782832343)	(92, 35.925191617662065)	(94, 35.905959007202675)	(96, 35.865241326912134)	(98, 35.85611016355493)	(100, 35.75065693738931)
Heart_ZT12_2_R1	(1, 36.60396957187172)	(2, 36.598667071417566)	(3, 36.67315736963638)	(4, 36.69135496515991)	(5, 36.683173573482186)	(6, 36.64239918858994)	(7, 36.63457584578689)	(8, 36.6764295245696)	(9, 36.662573585509215)	(10, 36.67326440766952)	(15, 36.66313495140792)	(20, 36.65303206006282)	(25, 36.615814762686526)	(30, 36.5889271125731)	(35, 36.57149925935858)	(40, 36.56719398528107)	(45, 36.53625114291285)	(50, 36.53779124269198)	(55, 36.50059620410443)	(60, 36.487221421466586)	(65, 36.46716366662637)	(70, 36.44880423351365)	(75, 36.450266986198926)	(80, 36.434176116608434)	(85, 36.41507197447759)	(90, 36.38242777223924)	(95, 36.370686141914156)	(100, 36.36009217624291)	(105, 36.29117767321713)	(110, 36.2336396207946)	(115, 36.26191398214752)	(120, 36.21793858758758)	(125, 36.15443140093653)	(130, 36.06357555741443)	(135, 35.99849163751242)	(140, 35.91472949294529)	(145, 35.78755684747758)	(150, 35.70880495162009)																	
Heart_ZT12_2_R2	(1, 36.452041349372216)	(2, 36.32582943490673)	(3, 36.40466559528199)	(4, 36.38140208524551)	(5, 36.43311208875695)	(6, 36.37877842311108)	(7, 36.37962753375759)	(8, 36.43567279103492)	(9, 36.42750621344107)	(10, 36.41430474303026)	(15, 36.391872842934426)	(20, 36.36327763112253)	(25, 36.30985609875118)	(30, 36.29209667369834)	(35, 36.26408808705359)	(40, 36.236865764187655)	(45, 36.22337240610727)	(50, 36.1840688714292)	(55, 36.15673989971368)	(60, 36.13282752024916)	(65, 36.086145153164445)	(70, 36.07027985938672)	(75, 36.014042219887955)	(80, 36.00415287732821)	(85, 35.997445637647765)	(90, 35.95905627004216)	(95, 35.93862202404828)	(100, 35.84937692339851)	(105, 35.85144353831631)	(110, 35.78874767384359)	(115, 35.72007174033975)	(120, 35.565896095773304)	(125, 35.49331798192505)	(130, 35.370787354748224)	(135, 35.2312017373154)	(140, 35.049897374806235)	(145, 34.78185037448874)	(150, 34.5049308301549)																	
Liver_ZT0_1_R1	(1, 36.558648157304766)	(2, 36.615979976256014)	(3, 36.69643525838119)	(4, 36.70847792981255)	(5, 36.70753936427696)	(6, 36.676818676717524)	(7, 36.63999218710071)	(8, 36.695106313677734)	(9, 36.684235463226784)	(10, 36.704439834941866)	(12, 36.71062848957626)	(14, 36.69215701634125)	(16, 36.700412314976184)	(18, 36.698156328915466)	(20, 36.692016808669095)	(22, 36.682661416147226)	(24, 36.671143047366385)	(26, 36.648793963411364)	(28, 36.64096067373194)	(30, 36.640622428655846)	(32, 36.6346472466099)	(34, 36.633210882135415)	(36, 36.628791217353445)	(38, 36.619143790381614)	(40, 36.61642097067831)	(42, 36.60805506271393)	(44, 36.6085359645874)	(46, 36.60341467289521)	(48, 36.59353964814766)	(50, 36.590252523415344)	(52, 36.584724354184665)	(54, 36.58112531721867)	(56, 36.569614200886136)	(58, 36.571249115372176)	(60, 36.55641671945259)	(62, 36.55381358413186)	(64, 36.54235175407108)	(66, 36.53721130604292)	(68, 36.53234523598062)	(70, 36.53498058963848)	(72, 36.52267829194894)	(74, 36.51714459794743)	(76, 36.51397123413204)	(78, 36.504208432478606)	(80, 36.49502364336119)	(82, 36.49135420828439)	(84, 36.491445604321456)	(86, 36.48327577825795)	(88, 36.47851593188227)	(90, 36.4747028147929)	(92, 36.45981205754845)	(94, 36.4535045159211)	(96, 36.44959878772479)	(98, 36.44651266212924)	(100, 36.3851748717171)
Liver_ZT0_1_R2	(1, 36.442169926458654)	(2, 36.36467983250566)	(3, 36.44127069881023)	(4, 36.446587123129945)	(5, 36.46130902363288)	(6, 36.42826774246928)	(7, 36.41385951984843)	(8, 36.46660771552663)	(9, 36.44492794521736)	(10, 36.46367907437799)	(12, 36.46375856652739)	(14, 36.43710557218134)	(16, 36.441594173193174)	(18, 36.42759011318907)	(20, 36.4228776925094)	(22, 36.4046653139395)	(24, 36.39174505829183)	(26, 36.38492054240415)	(28, 36.37654700228213)	(30, 36.372583748121485)	(32, 36.36126939716662)	(34, 36.356794180908864)	(36, 36.33512690303674)	(38, 36.31925117977589)	(40, 36.32228891141662)	(42, 36.310097507838535)	(44, 36.30145684219895)	(46, 36.29790390194629)	(48, 36.2915022113892)	(50, 36.279410633395415)	(52, 36.27616747900416)	(54, 36.25153588629133)	(56, 36.25625890086147)	(58, 36.252816930662114)	(60, 36.23844910911457)	(62, 36.23842184598428)	(64, 36.22375709173633)	(66, 36.212843770796205)	(68, 36.18413007490071)	(70, 36.1870169100515)	(72, 36.18111322727343)	(74, 36.179974706801744)	(76, 36.170524045207586)	(78, 36.142266835875276)	(80, 36.14355741095038)	(82, 36.14636086193108)	(84, 36.131123392092334)	(86, 36.125266033853215)	(88, 36.142896507866396)	(90, 36.11377132096397)	(92, 36.08340186453991)	(94, 36.08787229646004)	(96, 36.07479210724024)	(98, 36.04875361549736)	(100, 35.97108171671451)
