Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Heart_ZT0_1_R1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 8.0)	(17.0, 47.0)	(18.0, 105.0)	(19.0, 245.0)	(20.0, 402.0)	(21.0, 717.0)	(22.0, 1323.0)	(23.0, 2660.0)	(24.0, 4953.0)	(25.0, 9908.0)	(26.0, 19253.0)	(27.0, 36084.0)	(28.0, 60724.0)	(29.0, 96402.0)	(30.0, 138406.0)	(31.0, 206655.0)	(32.0, 253178.0)	(33.0, 343786.0)	(34.0, 545332.0)	(35.0, 1583695.0)	(36.0, 24802495.0)	(37.0, 11548811.0)						
Heart_ZT0_1_R2	(11.0, 273.0)	(12.0, 6950.0)	(13.0, 27739.0)	(14.0, 38413.0)	(15.0, 31339.0)	(16.0, 23679.0)	(17.0, 19652.0)	(18.0, 18833.0)	(19.0, 22651.0)	(20.0, 29658.0)	(21.0, 39602.0)	(22.0, 50315.0)	(23.0, 59019.0)	(24.0, 59631.0)	(25.0, 59635.0)	(26.0, 59068.0)	(27.0, 67222.0)	(28.0, 78254.0)	(29.0, 100290.0)	(30.0, 128335.0)	(31.0, 177171.0)	(32.0, 248632.0)	(33.0, 408158.0)	(34.0, 832318.0)	(35.0, 3331295.0)	(36.0, 25741942.0)	(37.0, 7995117.0)			
Heart_ZT0_2_R1	(15.0, 1.0)	(16.0, 7.0)	(17.0, 35.0)	(18.0, 113.0)	(19.0, 204.0)	(20.0, 368.0)	(21.0, 565.0)	(22.0, 1070.0)	(23.0, 2048.0)	(24.0, 3751.0)	(25.0, 7897.0)	(26.0, 15833.0)	(27.0, 30179.0)	(28.0, 51375.0)	(29.0, 81265.0)	(30.0, 113417.0)	(31.0, 157988.0)	(32.0, 207007.0)	(33.0, 296370.0)	(34.0, 475946.0)	(35.0, 1433033.0)	(36.0, 20586939.0)	(37.0, 8809724.0)							
Heart_ZT0_2_R2	(11.0, 99.0)	(12.0, 2555.0)	(13.0, 11223.0)	(14.0, 15760.0)	(15.0, 13619.0)	(16.0, 10362.0)	(17.0, 8303.0)	(18.0, 7785.0)	(19.0, 9001.0)	(20.0, 12173.0)	(21.0, 17909.0)	(22.0, 24012.0)	(23.0, 29856.0)	(24.0, 31711.0)	(25.0, 34063.0)	(26.0, 36122.0)	(27.0, 43394.0)	(28.0, 52980.0)	(29.0, 69661.0)	(30.0, 89867.0)	(31.0, 127614.0)	(32.0, 184562.0)	(33.0, 313096.0)	(34.0, 648955.0)	(35.0, 2631022.0)	(36.0, 20826887.0)	(37.0, 7022544.0)			
Heart_ZT12_1_R1	(15.0, 1.0)	(16.0, 11.0)	(17.0, 41.0)	(18.0, 128.0)	(19.0, 254.0)	(20.0, 432.0)	(21.0, 722.0)	(22.0, 1211.0)	(23.0, 2279.0)	(24.0, 4072.0)	(25.0, 8130.0)	(26.0, 15826.0)	(27.0, 29814.0)	(28.0, 50301.0)	(29.0, 82487.0)	(30.0, 119092.0)	(31.0, 171640.0)	(32.0, 232659.0)	(33.0, 346193.0)	(34.0, 584896.0)	(35.0, 1952165.0)	(36.0, 28399195.0)	(37.0, 9766130.0)							
Heart_ZT12_1_R2	(11.0, 111.0)	(12.0, 4730.0)	(13.0, 20321.0)	(14.0, 28875.0)	(15.0, 23063.0)	(16.0, 17204.0)	(17.0, 14332.0)	(18.0, 13863.0)	(19.0, 17582.0)	(20.0, 23024.0)	(21.0, 31733.0)	(22.0, 39887.0)	(23.0, 48715.0)	(24.0, 50555.0)	(25.0, 51727.0)	(26.0, 52459.0)	(27.0, 60876.0)	(28.0, 72988.0)	(29.0, 95391.0)	(30.0, 125805.0)	(31.0, 183431.0)	(32.0, 280053.0)	(33.0, 517389.0)	(34.0, 1242404.0)	(35.0, 5545858.0)	(36.0, 28743167.0)	(37.0, 4462136.0)			
Heart_ZT12_2_R1	(14.0, 3.0)	(15.0, 26.0)	(16.0, 58.0)	(17.0, 94.0)	(18.0, 170.0)	(19.0, 316.0)	(20.0, 507.0)	(21.0, 846.0)	(22.0, 1489.0)	(23.0, 2477.0)	(24.0, 4292.0)	(25.0, 7336.0)	(26.0, 12875.0)	(27.0, 21705.0)	(28.0, 33242.0)	(29.0, 48592.0)	(30.0, 66614.0)	(31.0, 90488.0)	(32.0, 125442.0)	(33.0, 202642.0)	(34.0, 421428.0)	(35.0, 1147318.0)	(36.0, 11362528.0)	(37.0, 2380298.0)						
Heart_ZT12_2_R2	(8.0, 1.0)	(9.0, 3.0)	(10.0, 2.0)	(11.0, 110.0)	(12.0, 3293.0)	(13.0, 11385.0)	(14.0, 12819.0)	(15.0, 9807.0)	(16.0, 7334.0)	(17.0, 6156.0)	(18.0, 5896.0)	(19.0, 6756.0)	(20.0, 9215.0)	(21.0, 13369.0)	(22.0, 19729.0)	(23.0, 25655.0)	(24.0, 30127.0)	(25.0, 31743.0)	(26.0, 32561.0)	(27.0, 35953.0)	(28.0, 43558.0)	(29.0, 56639.0)	(30.0, 77611.0)	(31.0, 117674.0)	(32.0, 215665.0)	(33.0, 390315.0)	(34.0, 734866.0)	(35.0, 1971302.0)	(36.0, 10927992.0)	(37.0, 1133250.0)
Liver_ZT0_1_R1	(16.0, 8.0)	(17.0, 31.0)	(18.0, 72.0)	(19.0, 122.0)	(20.0, 235.0)	(21.0, 428.0)	(22.0, 961.0)	(23.0, 1826.0)	(24.0, 3250.0)	(25.0, 6080.0)	(26.0, 11556.0)	(27.0, 21357.0)	(28.0, 35426.0)	(29.0, 56792.0)	(30.0, 79857.0)	(31.0, 113988.0)	(32.0, 153552.0)	(33.0, 224765.0)	(34.0, 365932.0)	(35.0, 1015912.0)	(36.0, 15942957.0)	(37.0, 8300827.0)								
Liver_ZT0_1_R2	(11.0, 165.0)	(12.0, 3918.0)	(13.0, 14310.0)	(14.0, 18668.0)	(15.0, 13884.0)	(16.0, 9532.0)	(17.0, 7557.0)	(18.0, 6865.0)	(19.0, 8170.0)	(20.0, 10530.0)	(21.0, 15181.0)	(22.0, 19707.0)	(23.0, 23620.0)	(24.0, 24852.0)	(25.0, 26720.0)	(26.0, 29673.0)	(27.0, 36284.0)	(28.0, 45673.0)	(29.0, 60355.0)	(30.0, 79679.0)	(31.0, 112700.0)	(32.0, 162412.0)	(33.0, 273918.0)	(34.0, 569952.0)	(35.0, 2302895.0)	(36.0, 17618989.0)	(37.0, 4839725.0)			
Liver_ZT0_2_R1	(15.0, 2.0)	(16.0, 7.0)	(17.0, 30.0)	(18.0, 88.0)	(19.0, 190.0)	(20.0, 357.0)	(21.0, 774.0)	(22.0, 1643.0)	(23.0, 3089.0)	(24.0, 5371.0)	(25.0, 10491.0)	(26.0, 19139.0)	(27.0, 35693.0)	(28.0, 58777.0)	(29.0, 92593.0)	(30.0, 130657.0)	(31.0, 181471.0)	(32.0, 241703.0)	(33.0, 351602.0)	(34.0, 563540.0)	(35.0, 1552336.0)	(36.0, 24175343.0)	(37.0, 12281672.0)							
