Sample	Unique Reads	Duplicate Reads
Heart_ZT0_1_R1	9188246.0	30466945.0
Heart_ZT0_1_R2	10030559.0	29624632.0
Heart_ZT0_2_R1	7818052.0	24457083.0
Heart_ZT0_2_R2	8355833.0	23919302.0
Heart_ZT12_1_R1	7441492.0	34326187.0
Heart_ZT12_1_R2	8454395.0	33313284.0
Heart_ZT12_2_R1	4143011.0	11787775.0
Heart_ZT12_2_R2	4514912.0	11415874.0
Liver_ZT0_1_R1	5290611.0	21045323.0
Liver_ZT0_1_R2	5435813.0	20900121.0
Liver_ZT0_2_R1	7030950.0	32675618.0
Liver_ZT0_2_R2	7894484.0	31812084.0
Liver_ZT12_1_R1	3799480.0	15008351.0
Liver_ZT12_1_R2	3912102.0	14895729.0
Liver_ZT12_2_R1	2981903.0	10805528.0
Liver_ZT12_2_R2	3095298.0	10692133.0
