Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Heart_ZT0_1_R1	(1.0, 15.149881376302002)	(2.0, 7.203324013392917)	(3.0, 4.403099483590981)	(4.0, 3.0595118143249125)	(5.0, 2.3241569486785725)	(6.0, 1.8420351924287224)	(7.0, 1.5660447869600393)	(8.0, 1.3586608040133317)	(9.0, 1.123979834027221)	('>10', 14.09865224851012)	('>50', 5.0429173801397695)	('>100', 11.249818854318953)	('>500', 5.239337097142538)	('>1k', 13.659271720491326)	('>5k', 5.9445642406933406)	('>10k+', 6.73474420498517)
Heart_ZT0_1_R2	(1.0, 16.987525797841894)	(2.0, 7.610155279200155)	(3.0, 4.715034547796998)	(4.0, 3.2746448821781007)	(5.0, 2.36508148135453)	(6.0, 1.868733082813128)	(7.0, 1.522538081309557)	(8.0, 1.222776917538566)	(9.0, 1.0967577700518731)	('>10', 13.112527710930328)	('>50', 4.579548591831664)	('>100', 11.044148097128689)	('>500', 5.604749597943024)	('>1k', 15.568468195763103)	('>5k', 5.571031877153427)	('>10k+', 3.8562780891650386)
Heart_ZT0_2_R1	(1.0, 15.94857328615847)	(2.0, 7.517016813875503)	(3.0, 4.56770537788627)	(4.0, 3.1584960276540675)	(5.0, 2.4231885420474755)	(6.0, 1.8638632889537754)	(7.0, 1.6177150921384857)	(8.0, 1.3199479988997085)	(9.0, 1.0910366961548157)	('>10', 14.04059347167702)	('>50', 4.941281063220424)	('>100', 11.696837965006994)	('>500', 5.629435255569551)	('>1k', 13.826876005801742)	('>5k', 5.120188361385227)	('>10k+', 5.237244753570456)
Heart_ZT0_2_R2	(1.0, 17.275308727279572)	(2.0, 8.083995466450274)	(3.0, 4.881971015727999)	(4.0, 3.2835613872365195)	(5.0, 2.402121017201757)	(6.0, 1.847873100269358)	(7.0, 1.5242128024425567)	(8.0, 1.2822469391076763)	(9.0, 1.0683203250510092)	('>10', 13.104930408490725)	('>50', 4.586432673396661)	('>100', 11.652637339441817)	('>500', 6.089886631413552)	('>1k', 15.336238585104947)	('>5k', 5.019715873791694)	('>10k+', 2.5605477075939005)
Heart_ZT12_1_R1	(1.0, 10.765886212568827)	(2.0, 6.00079199660438)	(3.0, 4.169328219113623)	(4.0, 2.934144388532893)	(5.0, 2.1562625996216447)	(6.0, 1.7369421965117575)	(7.0, 1.3561328666076076)	(8.0, 1.140494367053296)	(9.0, 0.9579180647007718)	('>10', 11.872556733013989)	('>50', 4.070861411677653)	('>100', 10.20505473067623)	('>500', 5.591332076146202)	('>1k', 16.662894451339493)	('>5k', 8.638445053867622)	('>10k+', 11.74095463196394)
Heart_ZT12_1_R2	(1.0, 13.006348177009327)	(2.0, 6.353196636735083)	(3.0, 4.333816777033589)	(4.0, 2.983251226986394)	(5.0, 2.2380616907324815)	(6.0, 1.65112770196932)	(7.0, 1.3906778000756772)	(8.0, 1.1335119835562866)	(9.0, 0.9494576205520334)	('>10', 10.81860904661411)	('>50', 3.705758623855746)	('>100', 9.625092873215863)	('>500', 5.730020520444318)	('>1k', 19.410187032622492)	('>5k', 8.806901915297248)	('>10k+', 7.863980373300186)
Heart_ZT12_2_R1	(1.0, 17.726872021691197)	(2.0, 8.247510646261315)	(3.0, 4.734412545795475)	(4.0, 2.9520449994577542)	(5.0, 2.125230133529987)	(6.0, 1.6079810046355212)	(7.0, 1.2802684558163153)	(8.0, 1.064546130907392)	(9.0, 0.8616663129731071)	('>10', 11.341110994456159)	('>50', 4.214239449292697)	('>100', 11.927355404867452)	('>500', 6.608154469816473)	('>1k', 17.401522847393196)	('>5k', 4.850648377488694)	('>10k+', 3.0564362056173744)
Heart_ZT12_2_R2	(1.0, 20.218830952778756)	(2.0, 8.20962415908594)	(3.0, 4.685685745579284)	(4.0, 2.9501549531024764)	(5.0, 2.004096123102667)	(6.0, 1.4857817229309527)	(7.0, 1.2231865411700877)	(8.0, 0.9888744773498345)	(9.0, 0.863399365373675)	('>10', 10.192199931245645)	('>50', 4.057215871617559)	('>100', 12.178238246180715)	('>500', 7.915637799663314)	('>1k', 18.558840093740823)	('>5k', 3.9160428161808576)	('>10k+', 0.5521912008973267)
Liver_ZT0_1_R1	(1.0, 12.799841787181288)	(2.0, 6.325315063081967)	(3.0, 3.854487909569295)	(4.0, 2.6810311741870847)	(5.0, 2.090286867162283)	(6.0, 1.6564135986695427)	(7.0, 1.4114687882674914)	(8.0, 1.2457878081537543)	(9.0, 1.0973516203496256)	('>10', 15.884036654268128)	('>50', 6.471697092067094)	('>100', 15.248919949462007)	('>500', 6.96683088627658)	('>1k', 13.52983273370006)	('>5k', 3.8557546041056234)	('>10k+', 4.880943463498221)
Liver_ZT0_1_R2	(1.0, 13.302160236714453)	(2.0, 6.2505634821998886)	(3.0, 3.969886875969312)	(4.0, 2.774239113924069)	(5.0, 2.158267543387268)	(6.0, 1.7070883990157806)	(7.0, 1.4011154420754965)	(8.0, 1.2291243780949435)	(9.0, 1.1132384132250148)	('>10', 15.844135639843227)	('>50', 6.199325401758872)	('>100', 16.144208600009236)	('>500', 7.406258588247297)	('>1k', 12.857647300758904)	('>5k', 3.320960821986278)	('>10k+', 4.321779762789866)
